ID, question, Option 1, Option 2, Option 3, Option 4, Option 5, Answer
250,"Adam Smith\'s phrase "invisible hand" referred to which of the following?:","the universality of manual labor prior to the Industrial Revolution.","the automatic mechanism of a free economy.","the power harnessed by Watt\'s steam engine.","the control over economic activity exerted by mercantilistic legislation.","God\'s presence in the economic world.","the automatic mechanism of a free economy."
251,"As First Consul, Napoleon combined what he conceived to be the best of the Revolution and of the old regime. This led to all of the following reforms EXCEPT?:","careers in government service were determined by talent, not pedigree.","the creation of the Bank of France.","the codification of French law.","equal rights for women.","the establishment of a solid currency and public credit.","equal rights for women."
252,"Napoleon\'s Concordat with the Papacy contained all but one of the following provisions?:","Catholicism was to be the "preferred" religion of France.","primary education was to be controlled by the clergy.","the state had the power to regulate the place of the church in French society.","non-Catholics were to enjoy religious freedom.","lands confiscated and sold during the Revolution were to be returned to the church.","lands confiscated and sold during the Revolution were to be returned to the church."
253,"The most persistent opponent of Napoleon and the French Republic was?:","the royalists.","the United States.","Great Britain.","the Russian-Austrian alliance.","the Jacobins.","Great Britain."
254,"Under the Napoleonic Code, workers received?:","no specific rights or guarantees.","the right to organize unions but not strike.","the right to boycott employers who would not bargain collectively.","the right to organize unions and strike.","the right to organize unions but not bargain collectively.","no specific rights or guarantees."
255,"All of the following are true about the Napoleonic Era (1799-1814) EXCEPT?:","Napoleon came nearer than anyone before or since to imposing political unity on the European continent.","Europe was transformed, not only through resistance to Napoleon but through collaboration in his reforms.","the fighting during the period amounted to a world war, involving not only Europe but America.","despite the fact that all the other European great powers, England, Prussia, Austria, and Russia, were allied against him from 1799 onwards, Napoleon managed to defeat them until 1812.","all of these choices are correct.","despite the fact that all the other European great powers, England, Prussia, Austria, and Russia, were allied against him from 1799 onwards, Napoleon managed to defeat them until 1812."
256,"A lasting effect of the Napoleonic occupation of Europe was the?:","the decline of Russian military power.","stimulation of national feeling in the subject lands.","collapse of international trade.","formation of a  Entente Cordiale  to keep the peace.","sudden end of any social or economic reforms.","stimulation of national feeling in the subject lands."
257,"Which of the following was achieved during the regime of Napoleon Bonaparte?:","he codified the laws of France in his famous Civil Code.","women\'s legal position was weakened with the activation of the Civil Code.","he arranged a Concordat with the Catholic Church.","he created a powerful, centralized bureaucracy.","all of these choices are correct.","all of these choices are correct."
258,"Although the French Revolution had abolished slavery, Napoleon?:","found that it still survived in some French colonies.","got Spain to give French merchants the  asiento  power to sell slaves in Central America.","decided to reinstate it and ordered the invasion of Haiti and capture of Toussaint-Louverture.","wanted to go further and grant voting rights to former slaves.","successfully reconquered Haiti and restored slavery.","decided to reinstate it and ordered the invasion of Haiti and capture of Toussaint-Louverture."
259,"Napoleon was seen by some as an heir of the Revolution because of his?:","commitment to equality of opportunity.","support of local elections.","promotion of freedom of expression.","commitment to parliamentary government.","all of these choices are correct.","commitment to equality of opportunity."
260,"Napoleon\'s purpose in instituting the Continental System was to?:","defeat England through economic war.","consolidate the separate states of Germany.","unify Italy.","create a united Europe under the leadership of France.","punish Russia for his il-fated invasion.","defeat England through economic war."
261,"In general, Napoleon championed?:","political freedom but not social equality.","the restoration of the  Ancien Regime .","all the rights of citizenship proclaimed by the National Assembly.","equality under the law but not political freedom.","freedom of expression but only for the aristocracy.","equality under the law but not political freedom."
262,"Why is it significant that Napoleon crowned himself as emperor of the First French Empire in 1804?:","he was the first of his line.","it was a symbolic gesture to show his independence.","because of the Concordat of 1801, the clergy refused to participate.","it had no significance.","because the Senate had named him "Emperor of the French" rather than "Emperor of France."","it was a symbolic gesture to show his independence."
263,"What was the direct cause of the rebellions in Latin America in the first part of the 19c?:","slave revolt in Haiti.","the American Revolution.","the French Revolution.","the spread of Enlightenment ideas.","Napoleon\'s invasion of Spain.","Napoleon\'s invasion of Spain."
264,"The Quadruple Alliance included all of the following European powers EXCEPT?:","Britain.","Austria.","Prussia.","Italy.","Russia.","Italy."
265,"Napoleon?:","was born and raised in Paris.","joined the Jacobins shortly after the French Revolution.","won a naval victory over Horatio Nelson off the coast of Egypt.","had poor math skills.","won the Battle of Trafalgar.","joined the Jacobins shortly after the French Revolution."
266,"Napoleon\'s conquest of Spain doomed its American empire by?:","draining precious resources away from colonial economies for the French war machine.","opening Spanish America up to British invasion.","allowing the colonies to govern themselves for six years.","killing off nearly all trained Spanish administrators.","all of these choices are correct.","allowing the colonies to govern themselves for six years."
267,"How did Napoleon deal with the Holy Roman Empire?:","he replaced the empire with the Confederation of the Rhine.","he annexed the southwestern states to France and created a Northern German Confederation under the leadership of his brother.","he expanded the empire\'s control over the Confederation of the Rhine.","he crowned himself Holy Roman Emperor.","he installed his own candidate as Holy Roman Emperor.","he replaced the empire with the Confederation of the Rhine."
268,"After the French Revolution and the Napoleonic era, France?:","became a socialist state.","completely revised its legal system.","instituted universal suffrage and education.","was divided into departments rather than provinces.","rejected the possibility of a constitutional monarchy.","was divided into departments rather than provinces."
269,"Which country was NOT ruled by a member of the Bonaparte family during the first decade of the 19c?:","Holland.","Westphalia.","Poland.","Spain.","Prussia.","Prussia."
270,"The rule of the British East India Company in India was terminated as a result of?:","the Crimean War.","reorganization of the British Empire by Disraeli.","The Congress of Berlin in 1885.","the Sepoy Mutiny.","the ambitions of Queen Victoria.","the Sepoy Mutiny."
271,"Great Britain exported opium to China in order to?:","demoralize Chinese resistance to conquest.","find a means of paying for imports from China.","goad the Chinese into war with Britain.","overcome other European trade rivals.","increase profits for British merchants in Egypt.","find a means of paying for imports from China."
272,"In arguing for the positive effects of her imperialist rule in India, Britain could point to all of the following EXCEPT?:","a competant civil service which generally served well in India.","an increase in education including instruction in English.","eradication of discrimination based on caste.","development of the Indian infrastructure.","control of hostilities among diverse Indian religious groups.","eradication of discrimination based on caste."
273,"Which of the following is the BEST reason for the beginnings of late 19c imperialism?:","the need to develop manufacturing in non-industrialized nations.","the global competition of European nations for claims to less developed areas.","missionary activities to proselytize and convert the heathens.","the acquisition of territories promising strategic benefit.","national security and the need for an international balance of power.","national security and the need for an international balance of power."
274,"Extraterritoriality and treaty ports were?:","legal agreements between France and Britain.","rights granted by the East India Company to native Indians.","features of the "unequal treaties" China was forced to accept.","imposed on Russia after her defeat in the Crimean War.","concessions made by the United States to the Hawaiians in the 1880s.","features of the "unequal treaties" China was forced to accept."
275,"Colonial rivalries that helped to increase international tensions before World War I included?:","British and French conflicts with Germany over Morocco.","Serbian hostility to Russia.","German-Russian conflicts in Africa.","Dutch-British clashes in the East Indies.","United States ambitions in Puerto Rico.","British and French conflicts with Germany over Morocco."
276,"A unique feature of the "new imperialism" was the?:","reliance on indirect political control over colonies through ruling native elites.","establishment of European control over Latin America.","establishment of direct political control over colonies through elaborate imperial bureaucracies.","decline in number of Western countries building empires.","all of these choices are correct.","establishment of direct political control over colonies through elaborate imperial bureaucracies."
277,"Which of the following did NOT occur at the Berlin Conference of 1884-1885?:","It was determined that nations claiming territories in Africa would have to demonstrate the creation of a real presence calculated to produce economic development.","The Congo was yielded to Leopold of Belgium as the Congo Free State.","The conference laid the ground rules for all further acquisitions in Africa.","The conference divided all of Africa among the major European powers.","The conference organized and structured the terms under which Africa would fall to European nations.","The conference divided all of Africa among the major European powers."
278,"One striking difference between the British and the French imperial models in Africa is that?:","the British preferred to use local institutions to control subject populations.","the French preferred to employ local rulers to govern their colonies.","many more British citizens relocated to Africa to administer their colonies than did French citizens.","the British actively sought to convert Africans to Christianity while the French did not.","the British established schools and academies to train African civil servants to run their colonies, while the French did not.","the British preferred to use local institutions to control subject populations."
279,"Which of the following are considered causes for the "new imperialism"?:","a search for markets for European manufactured goods.","European racism.","acquisition of colonies for prestige and national security.","missionary zeal.","all of these choices are correct.","all of these choices are correct."
280,"Which of the following statements concerning the internal economies of the European colonies is most accurate?:","the introduction of European technology, such as railways and telegraphs, was intended to improve the internal economies of the colonies.","slowly the industrial system of the West, including factories and the production of manufactured goods, was introduced into Africa and Asia.","by 1914, Asian and African colonies had won economic independence from the European colonizers.","the internal economies remained separate from the trade with Europe, but continued to thrive.","colonial economies were steadily reduced to dependence on the European-dominated global market.","colonial economies were steadily reduced to dependence on the European-dominated global market."
281,"The 19c term "White Man\'s Burden" reflects the idea that?:","Asians and Africans were equal to Europeans.","Europeans had a responsibility to improve the lives of their colonial peoples.","imperialism was opposed by most European.","Asians and Africans would be grateful for European help.","democracy was the best form of government for Asia and Africa.","Europeans had a responsibility to improve the lives of their colonial peoples."
282,"Philip II strengthened the Spanish Inquisition in the Netherlands because?:","he wanted to expel Jews living in the Netherlands.","he wanted to find and punish Dutch Protestants.","he wanted to assist the Prince of Orange, William the Silent.","he wanted to investigate suspected witches from the Netherlands.","all of these choices are correct.","he wanted to find and punish Dutch Protestants."
283,"Elizabeth I\'s major goal in foreign policy was to?:","avoid open warfare whenever possible and keep England strong and at peace.","start rebellions against the Scots.","marry one of the available foreign kings or heirs to their thrones.","create a democratic republic in England.","go to war with France and recapture lands lost by England during the Hundred Years\' War.","avoid open warfare whenever possible and keep England strong and at peace."
284,"The Spanish term  Reconquista  refers to which of the following?:","Spain\'s victory over the French in northern Italy.","the defeat of the Islamic states on the Iberian peninsula.","the long sought trade agreement with Portugal.","the beginnings of Habsburg rule in Spain.","the sailing of the Armada against England.","the defeat of the Islamic states on the Iberian peninsula."
285,"Machiavelli\'s  The Prince  was significant because?:","it became the "Bible of 20c dictators."","it was one of the first reality-based treatises on political behavior.","it was based primarily on empirical (hands-on) observation.","it was written with the goal of unifying Italy.","all of these choices are correct.","all of these choices are correct."
286,"After the United Provinces of the Netherlands won independence from Spain, their government could BEST be described as?:","a strong monarchy.","a centralized parliamentary system.","a weak union of strong provinces.","a democracy.","a military dictatorships.","a weak union of strong provinces."
287,"The single greatest cause of warfare between 1550 and 1650 was?:","economic competition.","disputes over constitutional issues.","international disputes over territory.","religious rivalries.","growing tensions between kings and nobles.","religious rivalries."
288,"All of the following were accomplishments of the Tudor monarchy EXCEPT?:","abolishing the Privy Council.","getting the most funds from their not very extensive inheritance.","putting an end to dynastic instability.","transforming England into a Protestant nation.","creation of a new level of peerage as a fund-raising tool.","abolishing the Privy Council."
289,"Machiavelli would most likely support a politician who would?:","govern his actions by moral considerations.","take actions to weaken the government and let the people govern.","manipulate people and use any means to gain power.","govern with the help of the church.","take a passive approach when dealing with problems.","manipulate people and use any means to gain power."
290,"Which of the following was NOT a foreign policy initiative of Philip II of Spain?:","an attempt to invade England.","an attempt to influence the succession to the French throne.","an attempt to clear the Mediterranean of Muslim navies.","an attempt to return the Lutheran areas of north Germany to the Catholic fold.","an attempt to combat the work of Calvinists in the Netherlands.","an attempt to return the Lutheran areas of north Germany to the Catholic fold."
291,"The Holy Roman Emperor was a weak title because?:","the Austrian Habsburgs controlled the throne.","it was an elected monarchy.","France was the power behind the throne.","the religious authority of the Emperor was superior to the political.","it was selected by the papacy.","it was an elected monarchy."
292,"Ferdinand and Isabella consolidated royal power in Spain by?:","creating a single political and governmental system for all their kingdoms.","eliminating the power and privileges of the great nobles.","appropriating a portion of church income.","obtaining from the papacy the right to make major ecclesiastical appointments in Spain.","all of these choices are correct.","obtaining from the papacy the right to make major ecclesiastical appointments in Spain."
293,"Which of the following statements BEST characterizes Elizabeth I\'s religious policy?:","a policy of moderation and compromise.","a new wave of persecution of Catholics in Ireland.","a continuation of the policies of Mary I.","an acceptance of fundamental Protestantism after Mary\'s repressive Catholicism.","a continuation of all of the policies of Edward VI.","a policy of moderation and compromise."
294,"Which of the following statements concerning economic agreements is NOT CORRECT?:","the International Monetary Fund was organized to provide small loans to the desperately poor (particularly women) in developing countries.","the Marshall Plan provided economic aid for the rebuilding of western Europe following World War II.","the European Economic Community was founded in response to the pressures of the Cold War","North American Free Trade Agreement in 1994 established a partnership involving the U. S., Canada, and Mexico.","OPEC created an oil cartel among oil-producing countries to set the price of oil.","the International Monetary Fund was organized to provide small loans to the desperately poor (particularly women) in developing countries."
295,"In mid-1991, war broke out in the former Yugoslavia when?:","Croatia applied for membership in N.A.T.O.","Bosnian Muslims attacked Serbians.","Serb armed forces carved out enclaves for Serb minorities in the republics of the former Yugoslavia.","Slovenia and Croatia massacred thousands of Serbs.","Croatian, Slovenian, and Bosnian forces attacked Serbia.","Serb armed forces carved out enclaves for Serb minorities in the republics of the former Yugoslavia."
296,"In 1991, members of the European Union drew up a plan for common policy, currency, and banking known as the?:","Helsinki Accords.","Maastrict Agreement.","NAFTA.","Chirac initiative.","Dunbarton Oaks Treaty.","Maastrict Agreement."
297,"Which of the following statements about the reunification of Germany is TRUE?:","West Germany suffered a dramatic economic depression.","East Germans staunchly opposed political and social reforms.","economic problems were minimal.","The Soviet Union paid the German government $15 billion for the ecological damage caused by decades of military dumping of major carcinogens.","East Germans suffered a loss of welfare benefits.","East Germans suffered a loss of welfare benefits."
298,"Why have so many violent clashes broken out between ethnic and religious groups in Central and Eastern Europe since the fall of Communism?:","the opening of Eastern Europe to a free market economy has promoted ferocious competition, and this has provoked ethnic hatred.","because under Communism, the different ethnic and religious groups were allowed complete freedom, but under the new governments they are repressed.","the Eastern Europeans have simply imitated the growing nationalism in Russia.","the Communist regimes suppressed or permitted only cultural expression of national ambitions, and now these have resurfaced.","all of these choices are correct.","the Communist regimes suppressed or permitted only cultural expression of national ambitions, and now these have resurfaced."
299,"In 1993, Czechoslovakia?:","joined both the EC and NATO.","split into the Czech Republic and Slovakia.","suffered a violent civil war.","allowed local autonomy for all ethnic minorities.","none of these choices are correct.","split into the Czech Republic and Slovakia."
300,"The Paris Accord of 1990 was a Europe-wide agreement to?:","affirm existing borders and reduce arms.","resume the cold war.","privatize the economies of Europe.","intensify anti-drug efforts.","bring about a settlement in Bosnia.","affirm existing borders and reduce arms."
301,"Which of the following was not a factor in the collapse of the communist governments of eastern Europe in 1989?:","the leadership of Yugoslavia in opposing the Soviet Union.","the defeat of the communist regimes in democratic elections.","Gorbachev&#8217;s announcement that the Soviet Union was withdrawing its financial and military support.","the efforts of the Solidarity movement in Poland.","the failure of communism to gain the support of indigenous populations.","Gorbachev&#8217;s announcement that the Soviet Union was withdrawing its financial and military support."
302,"Since the collapse of the Soviet Union, the movement for European unity has been threatened by?:","problems of integrating poorer and less-developed areas.","religious minorities that have not benefitted from economic prosperity.","hostility of other nations toward domination of the German financial system.","inability to decide on how to deal with violence in Bosnia.","all of these choices are correct.","all of these choices are correct."
303,"The event which finally galvanized NATO action against the Bosnian Serbs was?:","Milosevic\'s ditching of his Bosnian Serv allies.","the discovery of ethnic cleansing policies.","the fear of Russian intervention on the Bosnian Serb side.","the slaughter of several thousand citizens in Srebrenica.","the invasion of Bosnia by elements of the regular Serbian army.","the slaughter of several thousand citizens in Srebrenica."
304,"The July Ordinances were repressive decrees issued by?:","Nicholas I of Russia.","Prince Metternich of Austria.","Queen Victoria of England.","Frederick William IV of Prussia.","Charles X of France.","Charles X of France."
305,"Metternich may have been a brilliant statesman, but he was particularly misguided in?:","thinking he could stop forces of nationalism and liberalism.","his attempt to keep legitimate dynasties from returning to power.","his failure to understand the need to balance power.","serving the Austrian monarchy and totally disregarding the interests of Europe.","his support of the 1848 revolutions in Italy.","thinking he could stop forces of nationalism and liberalism."
306,"The chief purpose of the Congress of Vienna was to?:","stimulate nationalism.","protect western Europe from autocratic Russia.","restore the Old Regime as far as possible.","preserve the basic reforms of the French Revolution.","make Poland an independent state.","restore the Old Regime as far as possible."
307,"In 1820, revolutionaries overthrew the governments of which two states?:","Portugal and Tuscany.","France and Spain.","Piedmont and Prussia.","Spain and Naples.","Poland and Russia.","Spain and Naples."
308,"The  Burschenschaften  was?:","a revolutionary society in Italy.","student societies in Germany who wanted to spread German nationalism.","an army used to crush revolutions in Germany.","a German newspaper calling for a liberal state.","a German religious society to crush Protestantism.","student societies in Germany who wanted to spread German nationalism."
309,"The major supports of post-Napoleonic conservatism were?:","Roman Catholicism, the middle class, and urban workers.","legitimate monarchs, the middle class, and peasants.","radical religious groups, city dwellers, and rural poor.","peasants, university students, and the urban poor.","legitimate monarchs, landed aristocrats, and the leaders of the established religions.","legitimate monarchs, landed aristocrats, and the leaders of the established religions."
310,"The principle of legitimacy at the Congress of Vienna meant the?:","restoration of monarchs previously dethroned by Napoleon.","extension of democracy.","establishment of equality before the law.","self-determination of peoples.","rewarding countries who helped to defeat Napoleon.","restoration of monarchs previously dethroned by Napoleon."
311,"What became known as the "Eastern Question" in European affairs was actually a reflection of the?:","war for Greek independence.","Polish resistence to Russian reform programs there.","weakness of the Ottoman Empire.","the desire on the part of France and England to establish a naval presence in the eastern Mediterranean.","European fear of Russia.","weakness of the Ottoman Empire."
312,"The Decembrist Revolt of 1825?:","was devised by middle class merchants to secure political and economic reforms.","was the first rebellion in modern Russian history whose instigators had specific political goals.","symbolized the yearnings of Russian liberals whose numbers were substantial.","succeeded because the Russian officer corps was able to coordinate their rebellion with the one in Greece.","all of these choices are correct.","was the first rebellion in modern Russian history whose instigators had specific political goals."
313,"Which of the following was the key aim of the British Corn Laws in the early 1800s?:","to export grain at cheaper prices to France.","to weaken the power of the middle class in finance and banking.","to improve the quality of British grain.","to protect the interests of British grain producers from foreign imports.","to set up a free trade zone among farmers in western Europe.","to protect the interests of British grain producers from foreign imports."
314,"All of the following are true of the Romantic movement in the early 19c EXCEPT?:","it sympathized with revolts against oppression.","it placed great emphasis upon the individual.","it called for social reform.","it instilled a reverence for nature.","it accepted the basic ideals of the Enlightenment  philosophes .","it accepted the basic ideals of the Enlightenment  philosophes ."
315,"Following the death of Alexander I in 1825, Russia under Nicholas I became?:","a police state due to Nicholas\'s fear of revolution.","the most liberal of the European powers.","a major imperialist power with colonies in Asia and Africa.","a limited monarchy under the control of the Duma.","an industrial power following the abolition of serfdom.","a police state due to Nicholas\'s fear of revolution."
316,"Generally, the revolutions of 1848 resulted in?:","success for the liberal forces in Europe.","slow gains at first for the liberals, followed by complete realization of their goals.","the end of monarchy in Europe.","a consolidation of moderate, nationalistic middle classes.","the end of the age of romantic revolution.","the end of the age of romantic revolution."
317,"The foremost social group embracing liberalism was made up by?:","factory workers.","the industrial middle class.","radical aristocrats.","army officers.","the clergy.","the industrial middle class."
318,"The Frankfurt Assembly failed because?:","it endeavored to establish a radical rather than a liberal state.","it did not resolve the contradictions between liberalism and nationalism in the building of a German state.","the Prussian army quickly blocked its revolutionary efforts.","its refused to support Polish nationalism turned the Polish army against the Assembly.","none of these choices are correct.","it did not resolve the contradictions between liberalism and nationalism in the building of a German state."
319,"The revolution of 1848 in France resulted in?:","the continued rule of Louis-Philippe but with radical reforms.","new elections to the National Assembly, resulting in the dominance of the radical republicans.","Europe\'s first socialist state under the guidance of the National Workshops.","an authoritarian regime under Louis Napoleon Bonaparte.","a limited monarchy under the restored Bourbons.","an authoritarian regime under Louis Napoleon Bonaparte."
320,"Czar Nicholas I ruled Russia with a policy of?:","repression and spying.","religious toleration and political liberties.","political freedom for only the wealthy class.","cultural freedom but strict economic and political controls.","enlightened despotism.","repression and spying."
321,"The novelty of the "Concert of Europe" system was its recognition that?:","war had become too dangerous a luxury for Europe to afford.","France could not be eliminated from the map of Europe.","free trade was necessary for the economies of Europe to improve after the recessions following the Napoleonic Wars.","wars were useful only to obtain territory, not spread political change.","internal affairs were the concern solely of the affected country.","war had become too dangerous a luxury for Europe to afford."
322,"The main flaw of the Congress of Vienna settlement was that it?:","treated France too leniently.","excluded Spain from any territorial settlement.","refused to recognize the strength of nationalism and French revolutionary values and ideals.","went too far in adapting to the new political values that had appeared by 1815.","excluded France from joining any political alliance system after 1820.","refused to recognize the strength of nationalism and French revolutionary values and ideals."
323,"The most important symbol of Romanticism became the?:","unified society marching collectively to a better future.","desperate working class fighting for its freedom.","oppressed nationalities fighting for freedom.","isolated individual in heroic struggle.","idealic life of the yeoman farmer.","isolated individual in heroic struggle."
324,"Count Henri de Saint-Simon believed that?:","nature should be worshipped as a god.","sexual freedom was a necessary component of political freedom.","society should return to 17c norms.","ownership of private property was a crime.","the key to progress was proper social organization.","the key to progress was proper social organization."
325,"The Revolution of 1830 in France?:had no influence over the revolution in Poland.","benefited the upper middle class.","resulted from Louis XVIII\'s refusal to deny his theoretical absolute power.","established Louis Napoleon as the new emperor of France.","put the working class ina position of political supremacy.","had no influence over the revolution in Poland.","benefited the upper middle class."
326,"The Protocol of Troppau?:","permitted Russia and Prussia to build up their armies.","advocated intervention in Italian affairs.","permitted stable governments\' intervention into countries experiencing revolution for the purpose of restoring order.","dismantled the Concert of Europe.","required countries experiencing revolution to temporarily concede their authority to allied European powers.","permitted stable governments\' intervention into countries experiencing revolution for the purpose of restoring order."
327,"King Louis-Philippe was called France\'s bourgeois monarch for all of the following EXCEPT?:","he increased the number of voters.","he favored the extension of political power to the working class.","in public he dressed in the clothes of an industrialist.","his strongest supporters were upper middle class businessmen.","he introduced policies that favored the bourgeoisie.","he favored the extension of political power to the working class."
328,"Utopian socialism was built upon the idea that?:","strong states should direct national economies.","conservative economic principles foster social stability.","political reform was more important than economic reform.","competition among workers drives progress.","cooperative living might create a better environment for people.","cooperative living might create a better environment for people."
329,"* cujus regio, ejus religio.  		* reaffirmation of German nationalism. 		* limited to the recognition of Lutheranism and Catholicism. * resolved the conflict between German Protestants and Catholic princes         in the Holy Roman Empire.  All of the statements above describe the?:","Treaty of Westphalia.","Edict of Nantes.","Peace of Augsburg.","Treaty of Paris.","Edict of Worms.","Peace of Augsburg."
330,"Which of the following was the underlying cause of the other four?:","the end of unity in Western Christianity.","the Protestant Reformation.","religious conflicts evident in wars in the last half of the 17c.","the Great Schism characterized by the Avignon papacy and the struggle between Pope Boniface XVIII and the French king, Philip IV.","increase in lay education and spiritual reading.","the Great Schism characterized by the Avignon papacy and the struggle between Pope Boniface XVIII and the French king, Philip IV."
331,"By the end of the 16c, the Protestant Reformation had extended its influence to all of the following nations EXCEPT?:","the Holy Roman Empire.","Spain.","Sweden.","England.","Switzerland.","Spain."
332,"When the coin in the coffer rings, the soul from Purgatory springs.  This jingle was most likely spoken by?:","Johannes Tetzel.","Martin Luther.","John Calvin.","John Knox.","Sir Thomas More.","Johannes Tetzel."
333,"The Schmalkaldic War (1546-1547) was begun by?:","the Hapsburg to extend their empire.","Philip II of Spain to subdue the Netherlands.","Ivan III of Russia to extend his domains.","Henry IV of France to suppress the Huguenots.","Charles V to restore Catholicism to the Holy Roman Empire.","Charles V to restore Catholicism to the Holy Roman Empire."
334,"Calvinist laws prohibited?:","investments and profits.","dancing and gambling.","the mixing of church and state.","capital punishment.","education for women.","dancing and gambling."
335,"Ulrich Zwingli was responsible for the Protestant conversion of?:","the Netherlands.","France.","Switzerland.","Portugal.","Denmark.","Switzerland."
336,"The Diet of Worms was?:","an Imperial Council that Martin Luther refused to attend.","the site of a debate between Martin Luther and John Eck.","a meeting in which the German princes took the decision to defend Martin Luther in the face of threats by Charles V.","a Protestant Council whose aim was to unify the various Protestant sects.","an Imperial Council that ordered Martin Luther to recant and condemned him when he refused.","an Imperial Council that ordered Martin Luther to recant and condemned him when he refused."
337,"The Peace of Augsburg (1555)?:","allowed every individual in the Holy Roman Empire to choose between Lutheranism and Catholicism.","made Calvinism the official religion of the Holy Roman Empire.","subjected both the Catholic and Lutheran churches to complete state control.","permitted only the ruler of each state in the Empire to choose between Lutheranism and Catholicism.","granted only a few rights to the Anabaptists.","permitted only the ruler of each state in the Empire to choose between Lutheranism and Catholicism."
338,"All are not created on equal terms, but some are preordained to eternal life, others to eternal damnation; and, accordingly, as each has been created for one or the other of these ends, we say that he has been predestined to life or death.  This statement above reflects an essential view of?:","John Calvin.","Desiderius Erasmus.","Martin Luther.","Ulrich Zwingli.","Francois Rabelais.","John Calvin."
339,"Probably the most important reason for the popularity of Lutheranism among the Northern German princes was that it?:","attacked the idea of divinely established Papal authority.","it made Germany politically weaker.","taught salvation by good works.","placed considerable emphasis upon the Emperor.","raised doubts as to the effectiveness of the Roman Catholic sacraments.","attacked the idea of divinely established Papal authority."
340,"Martin Luther rejected which of the following?:","the priesthood of all believers","justification through faith alone","the Bible as the final authority of God\'s word","the spiritual life as superior to a secular life","financial payment for the remission of sins","financial payment for the remission of sins"
341,"Which of the following is not considered a cause of the Protestant Reformation?:","northern Renaissance scholars\' interest in early biblical texts.","the reform decrees of the Council of Trent.","increased lay interest in purifying church practices.","nationalist movements in the German states of the Holy Roman Empire.","the taxing policies of the Roman Catholic Church.","the reform decrees of the Council of Trent."
342,"The Brethren of Common Life represent?:","the extent of Protestant conversions in Italy.","the intense religious scholarship in Swiss monasteries.","a typical response of the papacy to the Reformation.","an example of pre-Reformation popular piety.","the power and appeal of John Calvin\'s message.","an example of pre-Reformation popular piety."
343,"John Wycliffe and John Huss both appealed to the superiority of?:","the kings.","the Church Councils.","the Bible.","the Catholic clergy.","devotion to saints and their relics.","the Bible."
344,"Calvin insisted upon strict observance of moral laws because?:","moral behavior was an outward sign that the person was probably of the elect.","he saw no connection between moral law and salvation.","it was easier to govern people who accepted a moral law.","he believed that government could be dispensed with if moral laws were closely obeyed.","none of these choices are correct.","moral behavior was an outward sign that the person was probably of the elect."
345,"Many German peasants were attracted to Luther\'s ideas chiefly because they?:","thought that his principles would get them into heaven directly, without having to pass through purgatory.","believed he justified their refusal to pay tithes to the Roman Catholic Church.","hated the Church\'s practice of granting indulgences.","felt that he would side with them in their struggle against the nobility.","believed he supported their freedom from serfdom.","believed he supported their freedom from serfdom."
346,"Martin Luther believed that women should?:","manage the household economy.","be allowed to enter the priesthood.","pursue careers outside the home.","rule the household.","be equal in all things.","rule the household."
347,"A result of the Protestant Reformation of the 16c was the?:","establishment of state churches in England, Scotland, and northern Germany.","separation of Church and State in France.","development of a uniform set of Protestant beliefs.","collapse of the temporal and spiritual power of the Pope.","all of these choices are correct.","establishment of state churches in England, Scotland, and northern Germany."
348,"Calvinism was a theocratic religion because?:","it allowed complete freedom of worship.","it believed in predestination.","it recognized that the seven sacraments were all valid ways to achieve salvation.","it believed in simple worship, a sermon, prayers, and hymns.","it permitted only members of its Church to hold political office.","it permitted only members of its Church to hold political office."
349,"The official creed of Lutheranism was summed up in?:","The Freedom of a Christian Man.","the  Augsburg Confession.","Address to the Nobility of the German Nation.","The Baylonian Captivity of the Church.","A Handbook for the Christian Knight.","the  Augsburg Confession."
350,"The popular lay movements that most directly assailed the late medieval Church were the?:","Albigensians and Beghards.","Cathars and Donatists.","Donatists and Arians.","Lollards and Hussites.","Waldensians and Beguines.","Lollards and Hussites."
351,"The principal reason for the sale of indulgences by the Roman Catholic Church was the?:","desire to complete the building of the new St. Peter\'s in Rome.","wish of the Church to engage in greater missionary activity.","need for another Crusade.","desire to establish more universities to train better clergy.","all of these choices are correct.","desire to complete the building of the new St. Peter\'s in Rome."
352,"The Protestant Reformation?:","weakened civil authority.","prevented the growth of religious tolerance.","encouraged the movement for popular education.","prevented Catholicism from spreading outside Europe.","weaken the authority of national states.","encouraged the movement for popular education."
353,"The printing press helped the Reformation succeed for all of the following reasons EXCEPT?:","it allowed for the rapid dissemination of radical ideas.","it allowed Martin Luther to publish and disseminate his works.","it allowed the papacy to rapidly suppress Lutheranism.","it decreased the cost of reading materials and made them more affordable to the middle and lower classes.","it allowed Martin Luther to print his works in the vernacular.","it allowed the papacy to rapidly suppress Lutheranism."
354,"The Council of Trent was important because?:","it provided for a new system to elect the pope.","it called for acceptance of Lutheran principles.","it eliminated the use of the  Index of Prohibited Books.","it adopted a general attitude of ecumenicism.","it reaffirmed the traditional doctrines of the Catholic Church.","it reaffirmed the traditional doctrines of the Catholic Church."
355,"The Reformation in Germany resulted in?:","a unified German state.","political fragmentation.","Italian control of Austria.","secular freedom for the peasantry.","the abolition of Catholicism.","political fragmentation."
