ID, question, Option 1, Option 2, Option 3, Option 4, Option 5, Answer
1420,"The Constitution framers","were unanimous in wanting a single president to lead the country.","were united in wanting a strong chief executive.","were united in wanting a chief executive similar to the prime minister of Great Britain.","generally wanted a president with limited authority and responsibilities.","hoped to create a monarchy in the United States.","generally wanted a president with limited authority and responsibilities."
1421,"The president's power can best be understood as","very limited and largely ceremonial.","always the dominant figure in the American political system.","shared with other branches of government as part of the Madisonian system of checks and balances.","unlimited and absolute.","originally intended to be unlimited and absolute, but gradually weakened over time.","shared with other branches of government as part of the Madisonian system of checks and balances."
1422,"The Constitution","provides a list of specific powers and implied powers reserved for the president.","places the power of the presidency above the other branches of government.","requires Congress to delegate specific areas of presidential power.","says remarkably little about presidential power.","B, C, and D are all correct.","says remarkably little about presidential power."
1423,"In order to preserve the balance of power in government without jeopardizing theindependence of the presidency, the framers","refused to give the president powers in the area of national security.","created a weak executive.","checked those powers that they believed to be most dangerous.","limited the president to administrative powers.","limited presidents to two terms of office so they could not become   elected monarchs.","checked those powers that they believed to be most dangerous."
1424,"Which of the following is NOT a constitutional power of the president?","serve as Commander in Chief of the armed forces","sign or veto legislation passed by Congress","appoint federal judges with the advice and consent of a majority of the Senate","enact legislation by issuing decrees","All of these are the president's constitutional powers.","enact legislation by issuing decrees"
1425,"The president has the constitutional authority to make treaties with other nations, subject tothe agreement of","a majority of both the House and the Senate.","a majority of the Senate.","two-thirds of the Senate.","two-thirds of the House.","a majority of the House.","two-thirds of the Senate."
1426,"The founding fathers envisioned a presidency that would","be better organized than today's presidency.","have fewer responsibilities than today's presidency.","have greater control over the Congress than today's presidency.","have greater powers than today's presidency.","clearly be the dominant branch of government.","have fewer responsibilities than today's presidency."
1427,"Theodore Roosevelt and Woodrow Wilson","were the first presidents to exercise power beyond the specific powers granted to the president in the Constitution.","developed the role of the president as manager of the economy.","set a precedent for presidents to serve as world leaders.","were the only two presidents to ever have their actions declared unconstitutional by the Supreme Court.","were among the least effective presidents.","set a precedent for presidents to serve as world leaders."
1428,"A primary resource available to presidents for controlling the bureaucracy is","control of the federal budget.","their unlimited power to offer patronage positions in the bureaucracy.","the power to appoint top-level administrators.","their ability to dismiss or fire most members of the bureaucracy.","all of the above","the power to appoint top-level administrators."
1429,"In recent years,","presidents have been less concerned about their appointment power.","presidents have paid closer attention to appointing officials who will be responsive to the president's policies.","presidents have paid less attention to agency rules and regulations.","there has been a trend toward decentralized decision making in the White House.","there has been a trend toward centralized decision making in the White House.","presidents have paid closer attention to appointing officials who will be responsive to the president's policies."
1430,"A constitutional duty of the vice president is to","preside over the Senate and cast the deciding vote in the event of a tie.","attend the funerals of foreign leaders on behalf of the president.","preside over the House and cast the deciding vote in the event of a tie.","raise funds for party candidates.","all of the above","preside over the Senate and cast the deciding vote in the event of a tie."
1431,"Traditionally, a vice president","has no formal constitutional powers.","later becomes president.","is an important advisor to the president.","has little responsibility.","both C and D","has little responsibility."
1432,"The president's cabinet","was provided for and elaborated upon by the Constitution.","has changed very little since 1960.","tends to serve as a collective board of directors.","consists of executive branch leaders who advise the president on policy and administer government departments.","all of the above","consists of executive branch leaders who advise the president on policy and administer government departments."
1433,"The presidential cabinet","is the electronically locked vault where the president keeps his top secret papers.","is given tremendous power under the Constitution.","includes, by law, a minimum of two sitting members of Congress at all times.","consists of the head of each executive department, plus any additional government officials the president designates.","can veto actions by the president.","consists of the head of each executive department, plus any additional government officials the president designates."
1434,"Which of the following is a member of the cabinet?","director of the Federal Bureau of Investigation","Speaker of the House","secretary of the navy","White House Chief of Staff","none of the above","none of the above"
1435,"Cabinet-level executive departments are created by","Congress.","the Constitution.","the president.","rarely held national referendums.","all of the above","Congress."
1436,"The head of each cabinet-level executive department is appointed by the president and","must be confirmed by a majority of the House.","is not subject to House or Senate approval.","must be confirmed by a majority of the Senate.","must be confirmed by a majority of both the House and the Senate.","must be confirmed by two-thirds of the Senate.","must be confirmed by a majority of the Senate."
1437,"The cabinet department responsible for making foreign policy and handling treatynegotiations is","interior.","justice.","foreign affairs.","defense.","state.","state."
1438,"The two oldest cabinet departments are","state and defense.","interior and justice.","treasury and justice.","state and treasury.","education and state.","state and treasury."
1439,"The newest cabinet department is","commerce.","agriculture.","interior.","homeland security.","transportation.","homeland security."
1440,"The National Security Council","links the president's key foreign and military policy advisors.","is composed of the heads of the three branches of the armed services and makes recommendations to the president on combat strategy.","was established by President Roosevelt to manage foreign and domestic intelligence operations.","was created by legislation to keep the president informed on foreign affairs.","helps the president make policy on such matters as inflation and unemployment.","links the president's key foreign and military policy advisors."
1441,"The Office of Management and Budget is comprised of","political appointees and career officials.","political appointees, career officials, and congressional staffers.","all political appointees.","all career officials.","economists.","political appointees and career officials."
1442,"The Office of Management and Budget, the National Security Council, and the Council ofEconomic Advisors are","members of the White House staff.","advisory bodies of the Department of State.","policymaking bodies of the Executive Office of the President.","part of the president's cabinet.","the key liaison agencies between the president and Congress.","policymaking bodies of the Executive Office of the President."
1443,"The budgetary implications of the president's budget are provided to the president by","Executive Budget Office.","Department of the Treasury.","Council of Economic Advisors.","Internal Revenue Service.","Office of Management and Budget.","Office of Management and Budget."
1444,"The agency that reviews legislative proposals for the president is the","Council of Economic Advisors.","National Security Council.","Office of Management and Budget.","Legislative Executive Agency.","Executive Legislative Agency.","Office of Management and Budget."
1445,"The part of the executive branch of government that the president sees daily and relies heavilyon for information, policy options, and analysis is the","vice president.","president's cabinet.","White House staff.","Executive Office of the President.","Council of Economic Advisors.","White House staff."
1446,"The system of White House management employed by President John Kennedy was","to disperse his authority to numerous aides, each of who had powerful decision-making power.","unusually closed, with only the president and his two closest aides involved in most major decisions.","to personally take charge of even the minor details of decision making.","a chain of command with a chief of staff who controlled almost all access to the president.","such that many aides equally participated in the decision-making process.","such that many aides equally participated in the decision-making process."
1447,"John F. Kennedy's   wheel-and-spokes   system of management was characterized by","a hierarchical organization with a chief of staff at the top.","many aides with equal status balanced against one another in the decision -making process.","the president's involvement in every administrative detail.","a closed, small network of computers that directly linked the president to his closest advisors through e-mail messages.","a streamlined, fast-paced, and efficient decision-making style.","many aides with equal status balanced against one another in the decision -making process."
1448,"The organization and importance of the White House staff depend on","the president's Chief of Staff.","agenda schedules and formal rules of debate.","the personal style of the president in office.","the legal authority granted it by Congress.","a hierarchy of access to the president.","the personal style of the president in office."
1448,"The organization and importance of the White House staff depend on","the president's Chief of Staff.","agenda schedules and formal rules of debate.","the personal style of the president in office.","the legal authority granted it by Congress.","a hierarchy of access to the president.","the personal style of the president in office."
1450,"The president who was known as the   consummate delegator   because he dispersed authorityto his advisors was","John F. Kennedy.","George Bush.","Ronald Reagan.","Jimmy Carter.","Lyndon Johnson.","Ronald Reagan."
1451,"George W. Bush's management style is","wheel and spokes.","chaotic.","hierarchical.","transitional.","to delegate.","to delegate."
1451,"George W. Bush's management style is","wheel and spokes.","chaotic.","hierarchical.","transitional.","to delegate.","to delegate."
1453,"The pocket veto can only be used","when a new president is about to take office.","during a presidential election year.","when Congress is in session.","on appropriations bills.","when Congress is adjourned.","when Congress is adjourned."
1454,"The Constitution gives the president the power to influence the legislative process through hisresponsibility to","make laws by decree without the consent of Congress in some situations.","direct the business of Congress and initiate impeachment.","report on the state of the union and veto acts of Congress.","recommend legislation and make appointments.","manage the economy, lead the party, and deal with national crises.","report on the state of the union and veto acts of Congress."
1455,"When a president vetoes congressional legislation,","Congress must form a joint committee to address the president's complaints.","the Supreme Court determines whether the law will take effect.","Congress can override the veto by a two-thirds vote in both houses.","there is nothing Congress can do about it.","one house of Congress can override the veto if it votes to do so with a two -thirds vote.","Congress can override the veto by a two-thirds vote in both houses."
1456,"A pocket veto is the situation in which the president","vetoes particular items in a spending bill.","lets a bill die by neither signing nor vetoing it after Congress has adjourned.","rejects a Congressional override.","lets a bill become law by neither vetoing nor signing it.","sends a law back to Congress with the reasons for rejecting it.","lets a bill die by neither signing nor vetoing it after Congress has adjourned."
1457,"Which of the following statements about the presidential veto is FALSE?","Almost half of all vetoed bills have been overridden by Congress.","Presidents can not veto only parts of a bill.","Even the threat of a presidential veto can be an effective tool for persuading Congress to give more weight to presidents ¹ views.","The presidential veto is an inherently negative resource.","The president, unlike most governors, cannot use a line-item veto.","Almost half of all vetoed bills have been overridden by Congress."
1458,"In 1998, the Supreme Court ruled in Clinton v. City of New York that","a 1996 law granting the president the authority to propose rescinding funds in appropriation bills was unconstitutional.","the pocket veto was unconstitutional.","that the Clinton impeachment vote was unconstitutional.","that the president could not line-item veto grant monies to urban areas.","none of the above","a 1996 law granting the president the authority to propose rescinding funds in appropriation bills was unconstitutional."
1459,"In 1996, Congress passed a law giving the president the authority to propose rescinding fundsin appropriations bills. Later,","Congress overturned the law.","President Clinton chose not to use such authority.","President Clinton used it successfully.","the Supreme Court voided the decision.","President Bush voided the decision.","the Supreme Court voided the decision."
1460,"The primary obstacle to party unity in Congress is the","multiplicity of parties represented.","lack of presidential leadership.","separation of powers.","bicameral legislature.","lack of consensus on policy issues among party members.","lack of consensus on policy issues among party members."
1461,"When constituency opinion and the president's proposals conflict, members of Congress aremore likely to","vote with the president.","vote with their constituents.","seek an electronic vote rather than a voice vote.","not vote.","vote according to their own ideology.","vote with their constituents."
1462,"Presidential coattails refers to","presidential favors to those who support the president's policies.","the formal constitutional powers of the president.","the ability of members of Congress to hide behind the president on tough issues.","voters casting their ballots for congressional candidates of the president's party who will support the president.","withholding of presidential favors from those who oppose the president's policies.","voters casting their ballots for congressional candidates of the president's party who will support the president."
1463,"Presidential coattails refers to","voters who support the president casting their ballots for congressional candidates of the president's party.","the tendency for the president's party to lose congressional seats in midterm elections.","fund-raising parties the president hosts to raise money for congressional candidates.","the president's power to appoint members of his own political party to cabinet posts and as personal advisors.","members of Congress voting according to the wishes of the president.","voters who support the president casting their ballots for congressional candidates of the president's party."
1464,"Recent election studies show","the president's party usually gains seats in Congress in mid-term elections.","a diminishing connection between voters ¹ presidential and congressional voting.","that the party of the winning presidential candidate has been gaining an increasing number of seats in congress.","that presidential coattails no longer exist.","that many congressional races are determined by presidential coattails.","a diminishing connection between voters ¹ presidential and congressional voting."
1465,"A mid-term election is","one in which the incumbent is running for reelection.","a congressional election that is not accompanied by a presidential election.","held every two years.","a special election that may remove an official from office in the middle of the term.","a presidential election that occurs during a session of Congress.","a congressional election that is not accompanied by a presidential election."
1466,"In mid-term elections, the","president's coattails are the strongest.","president's party typically gains seats.","president almost always wins reelection; a president who does not is the exception.","president usually does not become involved.","president's party typically loses seats.","president's party typically loses seats."
1467,"Most studies show that","presidential coattails are increasing in certain regions.","presidential coattails rarely affect elections.","presidential coattails are stronger in midterm elections.","presidential coattails are stronger than ever.","presidential coattails affect Republicans more than Democrats.","presidential coattails rarely affect elections."
1468,"The impact of public approval or disapproval of the president on the support that thepresident receives in Congress is","irrelevant.","not too important, though it occasionally has a minor effect.","represented in the text by the equation s \ ¹3D px\ ¹2D1.","extremely important, and sways nearly all members of Congress on every vote.","important, but usually at the margins on most policies.","important, but usually at the margins on most policies."
1469,"The political resource that has the most potential to turn a situation of stalemate between thepresident and Congress into one supportive of the president's legislative proposals is","presidential leadership.","the president's party leadership.","presidential rewards and sanctions.","public approval.","the threat of veto.","public approval."
1469,"The political resource that has the most potential to turn a situation of stalemate between thepresident and Congress into one supportive of the president's legislative proposals is","presidential leadership.","the president's party leadership.","presidential rewards and sanctions.","public approval.","the threat of veto.","public approval."
1471,"An electoral mandate ________ the president's level of support in Congress.","does severe harm to","usually has a positive effect on","increases by a factor of 2.5","has no effect on","guarantees a sharp increase in","usually has a positive effect on"
1472,"Electoral mandates","are the procedures used by the electoral college to tally the presidential electoral votes.","occur most often in mid-term elections.","consist of the perception that the voters strongly support the winner's positions.","are the constitutional requirements that federal elections be held on the second Tuesday of November of even numbered years.","have no real effect on how Congress supports the president.","consist of the perception that the voters strongly support the winner's positions."
1473,"Which of the following statements about presidential bargaining is FALSE?","The presidential bargaining takes a variety of forms.","The president needs to bargain only with enough people to provide a majority.","Bargaining in the form of providing specific benefits for members of Congress is critical to creating presidential coalitions.","The president does not have to bargain with every member of Congress to receive support.","Presidents ¹ bargaining ability is enhanced by strong public approval.","Bargaining in the form of providing specific benefits for members of Congress is critical to creating presidential coalitions."
1474,"According to the text, two strategies used successfully by President Reagan in achieving hisobjectives were","moving slowly and letting Congress set the priorities.","moving slowly and setting priorities.","lying and forgetting.","moving fast and setting priorities.","moving fast and letting Congress set the priorities.","moving fast and setting priorities."
1475,"The primary goal of the president's legislative strategy is usually","to win on all final votes.","to set the agenda.","to win the support of all fellow partisans.","block legislation he opposes.","none of the above","to set the agenda."
1476,"The president's role in the legislative process","is especially important in influencing Congress's agenda.","usually puts her/him in conflict with Congress.","is usually minor because Congress operates independently from the president.","is most effective in domestic policy.","at least until 1995, has been to react to and modify congressional initiatives.","is especially important in influencing Congress's agenda."
1476,"The president's role in the legislative process","is especially important in influencing Congress's agenda.","usually puts her/him in conflict with Congress.","is usually minor because Congress operates independently from the president.","is most effective in domestic policy.","at least until 1995, has been to react to and modify congressional initiatives.","is especially important in influencing Congress's agenda."
1478,"The president's legislative skills compete with other factors influencing congressional voting,including all of the following EXCEPT","ideology.","constituency news.","PAC spending.","partisanship.","none of the above","PAC spending."
1479,"Among the president's constitutional powers as a maker of foreign policy is the power to","ratify peace treaties.","appropriate foreign-aid funds.","extend diplomatic recognition to foreign governments.","declare war.","all of the above","extend diplomatic recognition to foreign governments."
1480,"Which of the following is NOT one of the president's powers as the nation's chief diplomat?","negotiating executive agreements which do not require congressional approval","mediating disputes between nations other than the United States","declaring war against an adversary","extending diplomatic recognition to a nation","negotiating treaties with other nations","declaring war against an adversary"
1481,"Which of the following statements about the role of the president as chief diplomat is FALSE?","Presidential diplomacy can involve negotiating conflicts between other nations and not the United States.","Senate approval of treaties negotiated by the president is almost automatic.","The president has the sole power to negotiate treaties with other nations.","In domestic policymaking, as chief diplomat, the president must rely principally on persuasion to lead.","All of these are false.","Senate approval of treaties negotiated by the president is almost automatic."
1482,"Some believe the War Powers Resolution could be successfully overturned by the SupremeCourt because it","was vetoed by President Nixon.","was not ratified within the constitutionally mandated seven -year period.","uses a legislative veto, which may violate the separation of powers.","interferes with the president's power to declare war.","was really aimed at the Vietnam War only.","uses a legislative veto, which may violate the separation of powers."
1482,"Some believe the War Powers Resolution could be successfully overturned by the SupremeCourt because it","was vetoed by President Nixon.","was not ratified within the constitutionally mandated seven -year period.","uses a legislative veto, which may violate the separation of powers.","interferes with the president's power to declare war.","was really aimed at the Vietnam War only.","uses a legislative veto, which may violate the separation of powers."
1484,"The War Powers Resolution may be considered unconstitutional because","its use of the legislative veto may be considered a violation of the doctrine of separation of powers.","it violates the president's power to declare war.","it violates the presidents power as Commander in Chief.","it was struck down by the Supreme Court.","it violates the congressional power to appropriate funds for the military.","its use of the legislative veto may be considered a violation of the doctrine of separation of powers."
1485,"During the 1991 Gulf War,","the War Powers Resolution was ignored.","Congress cut off funding after sixty days.","President Bush did not seek congressional support for the operation.","Congress passed a resolution authorizing the president to use force against Iraq.","Congress adopted a formal declaration of war against Iraq.","Congress passed a resolution authorizing the president to use force against Iraq."
1485,"During the 1991 Gulf War,","the War Powers Resolution was ignored.","Congress cut off funding after sixty days.","President Bush did not seek congressional support for the operation.","Congress passed a resolution authorizing the president to use force against Iraq.","Congress adopted a formal declaration of war against Iraq.","Congress passed a resolution authorizing the president to use force against Iraq."
1485,"During the 1991 Gulf War,","the War Powers Resolution was ignored.","Congress cut off funding after sixty days.","President Bush did not seek congressional support for the operation.","Congress passed a resolution authorizing the president to use force against Iraq.","Congress adopted a formal declaration of war against Iraq.","Congress passed a resolution authorizing the president to use force against Iraq."
1488,"Congress's role in national security policy has typically included all of the following EXCEPT","support or criticism of the president.","initiation of policy.","oversight of the executive branch.","to pass authorizations and appropriations for presidential actions.","monitoring constituent opinions on national security.","initiation of policy."
1489,"The typical member of Congress supports the president on national security roll-call votes","very rarely.","about 75 percent of the time.","almost always.","only 38 percent of the time.","slightly more than half the time.","slightly more than half the time."
1490,"References by commentators on the presidency to there being   two presidencies   refer to","the president as candidate and the president as elected leader.","the first term and the second term of a president.","what the president originally proposes to accomplish and what the president actually does accomplish.","the differences between public and private presidential actions.","national security and domestic policy.","national security and domestic policy."
1491,"Which of the following statements about presidents going public is FALSE?","Presidents are not passive followers of public opinion.","Presidents ¹ appearances are often staged purely to obtain the public's attention.","In recent years, presidents have averaged more than one public appearance every weekday of the year.","Dwight Eisenhower was the first president to use presidential speeches to gain policy support.","John F. Kennedy was the first   television president.","Dwight Eisenhower was the first president to use presidential speeches to gain policy support."
1492,"How did the White House Communications Office choreograph George W. Bush's addressfrom the Abraham Lincoln announcing the end of major combat operations in Iraq?","They placed a   Mission Accomplished   banner over the president's head.","They positioned the Abraham Lincoln so that the shoreline was not visible.","They timed the even so that the sun would cast a favorable light on the president.","The coordinated the shirts of the crewmembers.","all of the above","all of the above"
1493,"The higher the president stands in the polls,","the less support he needs in Congress.","the shorter the president's coattails.","the less need there is for presidential public appearances.","the easier it is to persuade others to support presidential initiatives.","the less likely he will initiate new policy ventures.","the easier it is to persuade others to support presidential initiatives."
1494,"Among recent presidents, the average approval ratings in the public opinion polls have been","higher at the end of the president's term than at the beginning.","over 75 percent.","higher at the beginning of the president's term than at the end.","below 40 percent.","slowly rising over the course of a president's term(s).","higher at the beginning of the president's term than at the end."
1495,"On average, those who identify with the president's party give approval more than ________percentage points higher than do those who identify with the opposition party.","10","20","40","30","50","40"
1496,"The primary factor influencing whether or not a person approves or disapproves of apresident's job performance is","age.","geographic location.","gender.","political party identification.","presidential personality.","political party identification."
1497,"At the base of presidential evaluations is the","public's longstanding suspicion of excessive presidential power.","lack of well-defined opinions among most people.","predisposition of many people to be critical of government and politics in general.","public's indifference to the president.","predisposition of many people to support the president.","predisposition of many people to support the president."
1498,"The basic underpinning of approval or disapproval of a president is","the president's ability to get her/his program passed by Congress.","personality characteristics.","political party identification.","the state of the economy.","the behavior of the media.","political party identification."
1499,"According to public opinion polls, presidents seem to be most popular","just before they leave office.","after they have introduced their first legislative package to Congress.","when they first enter office.","after they leave office.","during mid-term elections.","when they first enter office."
1500,"Changes in presidential approval levels appear to be due primarily to","the president's personality.","how the media treat the president.","the financial elites ¹ responses to presidential policies.","the public's evaluation of how the president is handling policy areas.","how the president's policies affect people individually.","the public's evaluation of how the president is handling policy areas."
1501,"Rally events","are specific and dramatic events that relate to international relations, directly involving the United States and the president.","have an enduring impact on a president's public approval.","involve economic upsurges that dramatically increase presidential popularity.","have no effect on presidential popularity even though presidents use them for that purpose.","occur frequently during a president's administration.","are specific and dramatic events that relate to international relations, directly involving the United States and the president."
1502,"The surge in President George Bush's approval ratings during and immediately following theGulf War in 1991 was an example of","the bandwagon effect.","a rally event.","the bully pulpit.","presidential coattails.","a pocket veto.","a rally event."
1503,"The ultimate weapon in the president's arsenal of resources to influence Congress is probably","media support.","interest group support.","her/his fundraising ability.","mobilization of the public.","the support of Wall Street and the Federal Reserve Board.","mobilization of the public."
1504,"Presidential press conferences","give the president a chance to be spontaneous.","have not been used since the Nixon administration.","are not very useful means of eliciting information.","are required by the Constitution without saying how often.","are small, intimate meetings with the president.","are not very useful means of eliciting information."
1505,"The president's ________ serves as the principal conduit of information from the White Houseto the press on a daily basis.","press secretary","vice president","Chief of Staff","Secretary of Information","Domestic Policy Advisor","press secretary"
1506,"The individual who conducts daily press briefings and serves as a conduit of information fromthe White House is the","National Security Advisor.","Minister of Information.","president's secretary.","Chief of Staff.","press secretary.","press secretary."
1507,"Most of the news coverage of the White House","is class analysis that seeks to explain which socio-economic groups are benefiting from or being injured by the latest policies.","focuses on the most visible layer of presidents ¹ personal and official activities.","focuses on the fundamental processes operating in the executive branch.","is concerned with the substance of policies.","is concerned with foreign policy issues.","focuses on the most visible layer of presidents ¹ personal and official activities."
1508,"A large number of studies have concluded that the news media are","moderately biased toward liberal ideology.","not biased on any systematic basis, and the news is typically characterized by neutrality.","slightly biased toward the Democrats.","strongly biased toward the Democrats.","slightly biased toward the Republicans.","not biased on any systematic basis, and the news is typically characterized by neutrality."
1509,"News coverage of presidents and their activities","usually focuses on the personality of the president.","is not systematically biased in any direction.","tends to focus on the substance of presidential policies.","has a heavy liberal bias.","is typically unfavorable toward the White House.","is not systematically biased in any direction."
1510,"Which of the following statements about the presidency and democracy is FALSE?","There is little prospect of the presidency being a threat to democracy.","From the time the Constitution was written there has been a fear that the presidency would degenerate into a monarchy.","Concerns over presidential power are generally closely related to policy views.","Concerns about a tyrannical presidency were prevalent in the Reagan administration due to his ability to impose his will on Congress.","none of the above","Concerns about a tyrannical presidency were prevalent in the Reagan administration due to his ability to impose his will on Congress."
1510,"Which of the following statements about the presidency and democracy is FALSE?","There is little prospect of the presidency being a threat to democracy.","From the time the Constitution was written there has been a fear that the presidency would degenerate into a monarchy.","Concerns over presidential power are generally closely related to policy views.","Concerns about a tyrannical presidency were prevalent in the Reagan administration due to his ability to impose his will on Congress.","none of the above","Concerns about a tyrannical presidency were prevalent in the Reagan administration due to his ability to impose his will on Congress."
1512,"A budget deficit occurs when expenditures exceed","revenues.","borrowing.","appropriations.","authorizations.","inflation.","revenues."
1513,"Most of today's federal debt was run up by government borrowing during","World War II.","the 1980s.","the Vietnam War.","the Great Depression.","the Cold War (1947-1989).","the 1980s."
1514,"Approximately what percentage of the annual federal budget pays interest on the nationaldebt?","13","15","21","9","6","9"
1515,"Which of the following is NOT currently one of the major sources of federal revenue?","personal income taxes","social insurance taxes","borrowing","excise taxes","corporate income taxes","excise taxes"
1515,"Which of the following is NOT currently one of the major sources of federal revenue?","personal income taxes","social insurance taxes","borrowing","excise taxes","corporate income taxes","excise taxes"
1515,"Which of the following is NOT currently one of the major sources of federal revenue?","personal income taxes","social insurance taxes","borrowing","excise taxes","corporate income taxes","excise taxes"
1518,"A(n) ________ is a policy document allocating taxes and expenditures, or a series of goals withprice tags attached.","balance sheet","procurement","fiscal register","apportionment","budget","budget"
1519,"A budget is","a blueprint for what the government should do.","a policy determination of how much to spend.","a policy document allocating burdens (taxes) and benefits (expenditures).","passed by the president's cabinet.","none of the above","a policy document allocating burdens (taxes) and benefits (expenditures)."
1520,"Congress was officially given the power to levy an income tax through the","Sixteenth Amendment.","Supreme Court case of Pollock v. Farmer's Loan and Trust Co. (1895).","revenue clause of the original Constitution.","Internal Revenue Act.","Balanced Budget Amendment.","Sixteenth Amendment."
1520,"Congress was officially given the power to levy an income tax through the","Sixteenth Amendment.","Supreme Court case of Pollock v. Farmer's Loan and Trust Co. (1895).","revenue clause of the original Constitution.","Internal Revenue Act.","Balanced Budget Amendment.","Sixteenth Amendment."
1520,"Congress was officially given the power to levy an income tax through the","Sixteenth Amendment.","Supreme Court case of Pollock v. Farmer's Loan and Trust Co. (1895).","revenue clause of the original Constitution.","Internal Revenue Act.","Balanced Budget Amendment.","Sixteenth Amendment."
1523,"Which of the following is NOT the responsibility of the Internal Revenue Service?","investigating and prosecuting thousands of errant taxpayers or nonpayers of federal taxes","establishing the annual tax rates that Americans of different incomes must pay","auditing more than one million taxpayers annually","collecting the federal income tax","All of these are the IRS's responsibilities.","establishing the annual tax rates that Americans of different incomes must pay"
1524,"Income taxes","provide the largest source of federal revenue.","were first used in 1915 after the Sixteenth Amendment was passed.","were declared constitutional in Pollock v. Farmer's Loan and Trust Co.","yield about 11 cents of every federal revenue dollar.","All of these are true.","provide the largest source of federal revenue."
1525,"In order of decreasing amounts, the sources of federal revenue include","individual income tax, excise tax, corporate income tax, and social insurance receipts.","individual income tax, social insurance receipts, borrowing and corporate income tax.","social insurance receipts, corporate income tax, individual income tax, and borrowing.","corporate income taxes, personal income taxes, borrowing and social insurance taxes.","borrowing, individual income tax, social insurance receipts, and corporate income tax.","individual income tax, social insurance receipts, borrowing and corporate income tax."
1526,"Corporations today pay","income taxes which account for most federal revenue.","income taxes which account for more federal revenue than individual income taxes.","income taxes which account for much less federal revenue than individual income taxes.","no income taxes.","capital gains taxes and property taxes instead of income taxes.","income taxes which account for much less federal revenue than individual income taxes."
1527,"The income tax is generally progressive, meaning that","it increases incrementally on an annual basis.","those with more income pay higher rates of tax on their income.","those with more income pay more in taxes than those with less income.","it is a newer form of taxation than excise and sales taxes.","it is better than a flat tax.","those with more income pay higher rates of tax on their income."
1528,"Social Security taxes are","paid for by employees and employers.","paid for by employees only.","paid for by employers only.","taxes paid on Social Security benefits.","levied and collected by state governments.","paid for by employees and employers."
1529,"Social insurance taxes","are earmarked for a specific purpose.","have grown very little in recent years.","go into the government's general money fund.","are paid only by employers.","all of the above","are earmarked for a specific purpose."
1530,"The fastest growing source of federal revenue has been","fees for services.","Social Security taxes.","personal income taxes.","borrowing.","corporate income taxes.","Social Security taxes."
1531,"The government borrows money principally by","selling bonds.","maintaining numerous departmental credit card accounts.","printing more currency.","obtaining loans from foreign governments.","obtaining loans from the Federal Reserve.","selling bonds."
1532,"Who can purchase United States government bonds?","financial institutions","citizens","corporations","mutual funds","all of the above","all of the above"
1533,"The federal debt","consists of all the money borrowed over the years by the national government and still outstanding.","is money owed to foreign nations by the United States government when it imports more goods than it exports.","is all money borrowed over the years by the federal government and owed to state governments.","is the difference between the amount of annual tax receipts and government expenditures.","is money owed by taxpayers to the United States government, but never paid.","consists of all the money borrowed over the years by the national government and still outstanding."
1534,"The federal debt in the United States","is the difference between federal government revenues and expenditures in a given year.","has increased due to the budget deficit caused by the difference between revenues and expenditures.","was eliminated due to George W. Bush's efforts to balance the budget.","consists of the interest that government must pay on the budget deficit.","is just under $1,000,000,000.","has increased due to the budget deficit caused by the difference between revenues and expenditures."
1535,"Unlike state and local governments, the federal government is borrowing primarily for","its day-to-day expenses.","future development needs.","military defense.","printing money.","its capital needs.","its day-to-day expenses."
1536,"________ are revenue losses attributable to provisions of the federal tax laws which allow aspecial exemption, exclusion, or deduction.","Tax dividends","Fiscal seepages","Treasury bills","Tax reductions","Tax expenditures","Tax expenditures"
1537,"Tax expenditures consist of","the way taxes are spent by the federal government.","tax exemptions, deductions, and exclusions.","taxes paid by employers for social insurance programs.","direct grants-in-aid to individuals by the government.","the amount of deficit caused by revenue shortfalls.","tax exemptions, deductions, and exclusions."
1538,"The federal income tax deduction for mortgage interest on an owner -occupied home is anexample of a","tax rebate.","negative income tax.","federally guaranteed loan.","tax expenditure.","tax refund.","tax expenditure."
1539,"An example of a tax expenditure is","a lower tax rate for lower income families.","direct government support of a charity.","the social security system.","a tax deduction for the mortgage interest paid by homeowners.","the purchase of a Stealth Bomber by the Pentagon.","a tax deduction for the mortgage interest paid by homeowners."
1540,"The Office of Management and Budget estimates that the total tax expenditures is more than________ of the federal government's total receipts.","30 percent","10 percent","25 percent","40 percent","50 percent","30 percent"
1541,"Tax expenditures tend to most benefit","lower-income people and the poor.","lower-middle class people and small businesses.","the government.","middle- and upper-income people and corporations.","state and local governments and school districts.","middle- and upper-income people and corporations."
1542,"Which of the following statements about President Reagan's 1981 tax cut is FALSE?","Taxes were indexed to the cost of living.","Corporate taxes were increased.","Federal taxes were reduced by 25 percent.","It provided new tax incentives for personal saving and investment.","none of the above","Corporate taxes were increased."
