ID, question, Option 1, Option 2, Option 3, Option 4, Answer
980,"GDP can measures both an economy’s total income and total expenditure because they are","always equal because rules in accounting always make things equal.","equal only when all goods and services produced are sold.","equal because only households purchase goods and services.","always equal since every transaction has both a buyer and a seller.","always equal since every transaction has both a buyer and a seller."
981,"Which of the following represents GDP?","C + I + G","G + I + NX","I + C + NX","C + I + G + NX","C + I + G + NX"
982,"Which of the following would be counted in the calculation of GDP?","the sale of a rare coin to a coin collector","homes that are rebuilt after being completely destroyed by a hurricane","the sale of a 1966 Ford Fairmont.","the sale of cocaine in the black market.","homes that are rebuilt after being completely destroyed by a hurricane"
983,"Aaron and Adam, who are both full-time students, have each been doing work on their own cars. Then Adam decides to hire Aaron to do his oil changes, and in turn, Aaron hires Adam to keep his car clean. As a result of this change, GDP","rises.","falls.","is unaffected because the same work is being done as before.","is unaffected because Adam and Aaron are full-time students.","rises."
984,"The largest component of GDP is","net exports.","consumption.","government purchases.","investment.","consumption."
985,"If the value of intermediate goods were used to calculate GDP instead of final goods, then GDP would be","over-estimated, because of double counting.","under-estimated because of all the goods and services missed in the calculations.","too difficult to measure because of all the goods and services produced in the economy each year.","the same, since it doesn’t matter whether intermediate goods or final goods are used in the calculations.","over-estimated, because of double counting."
986,"Jim buys a new Mustang in August 1999 and then sells it to John in June 2001. As a result,","the value of the car will be included in 2001 GDP only, since that was the year of the last sale.","1999 GDP will include the value of the car, and 2001 GDP will include the value of the car minus depreciation.","1999 GDP will include the value of the car, but 2001 GDP will not.","both 1999 GDP and 2001 GDP will include the value of the car since it was sold in both years.","1999 GDP will include the value of the car, but 2001 GDP will not."
987,"Which two of the following are considered measures of income for an economy?","gross national product and net national product","net national profits and personal income","gross national product and net national investment","disposable personal income and personal profits","gross national product and net national product"
988,"Personal income is defined as","after-tax proprietors’ income.","the total income earned by a nation’s permanent residents.","the income that households and non-corporate businesses receive.","the total income earned by a nation’s residents minus depreciation.","the total income earned by a nation’s permanent residents."
989,"Retained earnings are the part of income that","households retain after paying taxes.","business retain after paying taxes.","corporations pay to their owners in the form of dividends.","corporations do not pay to their owners in the form of dividends.","corporations do not pay to their owners in the form of dividends."
990,"If the government reports that “GDP increased at an annual rate of 4.0 percent for the fourth quarter of 2000,” then GDP increased by","1.0 percent during 2000.","16.0 percent during 2000.","4.0 percent during the fourth quarter of 2000.","1.0 percent during the fourth quarter of 2000.","1.0 percent during the fourth quarter of 2000."
991,"If you buy a carton of chocolate chip cookie dough ice cream in your favorite grocery store","both GDP and consumption spending will be higher.","GDP will be higher, but consumption spending will be unchanged.","GDP will be unchanged, but consumption spending will be higher.","since your spending on the ice cream became the store’s income, GDP would not change.","both GDP and consumption spending will be higher."
992,"Net exports will be positive when","imports are larger than exports.","exports are larger than imports.","imports are equal to exports.","GDP increases.","exports are larger than imports."
993,"Transfer payments are","paychecks which are automatically deposited in bank accounts.","on-line bill payment services offered by many large banks.","moving expenses when a worker is transferred by an employer to a new location.","government spending that does not reflect payment for currently produced goods or services.","government spending that does not reflect payment for currently produced goods or services."
994,"If Hallmark builds a plant in Mexico, the production from that plant would be","included in U.S. GNP but not GDP.","included in U.S. GDP but not GNP.","included in both U.S. GDP and GNP.","not included in either U.S. GDP or GNP but only in Mexico’s production.","included in U.S. GNP but not GDP."
995,"If a construction company in Japan purchases a U.S. built bulldozer from Caterpillar, U.S. GDP","is the same but U.S. GNP increases.","increases since exports are included in GDP.","is unaffected since exports are not included in GDP.","decreases since the bulldozer could have been purchased by a U.S. company.","increases since exports are included in GDP."
996,"In 1998, U.S. GDP was","$850 billion.","$1,367 billion.","$5,808 billion.","$8,511 billion.","$8,511 billion."
997,"Real GDP","evaluates current production at current prices.","evaluates current production at prices in some base year.","is not a valid measure of the economy’s performance.","is a measure of the value of goods only, but not services.","evaluates current production at prices in some base year."
997,"Real GDP","evaluates current production at current prices.","evaluates current production at prices in some base year.","is not a valid measure of the economy’s performance.","is a measure of the value of goods only, but not services.","evaluates current production at prices in some base year."
999,"GDP is a good but not perfect measure of economic well-being because it leaves out each of the following EXCEPT","leisure.","volunteer work.","medical services.","the quality of the environment.","medical services."
1000,"If nominal GDP is $10 trillion and the GDP deflator is 125, real GDP is","$6 trillion.","$8 trillion.","$10 trillion.","$12.5 trillion.","$8 trillion."
1001,"If we want to know the amount of expenditures for an average individual in a country, we should look at","real GDP.","nominal GDP.","GDP per person.","current GDP.","GDP per person."
1002,"International GDP data show that","a nation’s GDP is closely associated with its citizens’ standard of living.","there is no relationship between GDP and the economic well-being of citizens.","poor nations actually might enjoy a higher standard of living than do rich nations.","there are few real differences in living standards around the world, in spite of the large differences in GDP among nations.","a nation’s GDP is closely associated with its citizens’ standard of living."
1003,"It is especially difficult to measure GDP in Russia because","no consistent national income accounting standards exist.","the statisticians believe that producers are exaggerating the size of output.","a large part of the economy is underground and hidden from the statisticians.","only government officials are allowed access to statistics on the economy.","a large part of the economy is underground and hidden from the statisticians."
1004,"When the consumer price index rises, a typical family","can spend fewer dollars to maintain the same standard of living.","finds that its standard of living is not affected.","has to spend more dollars to maintain the same standard of living.","None of the above answers is necessarily correct.","has to spend more dollars to maintain the same standard of living."
1005,"The inflation rate is defined as the","cost of inflation.","cost of borrowing.","percentage change in real GDP from the previous period.","percentage change in the price level from the previous period.","percentage change in the price level from the previous period."
1006,"The CPI is a measure of the overall cost of","producer inputs.","personal imports.","goods and services bought by a typical consumer.","goods and services produced in the economy.","goods and services bought by a typical consumer."
1007,"The CPI is computed using all goods and services","produced in the economy.","used to produce other goods.","that typical producers buy.","that typical consumers buy.","that typical consumers buy."
1008,"In computing the CPI, the base year is the","year against which this years price index is compared to find the inflation rate during the year.","benchmark against which other years are compared.","current year.","year with the lowest prices.","benchmark against which other years are compared."
1009,"For any given year, the CPI is the price of the basket of goods and services in the","given year divided by the price of the basket in the base year, then multiplied by 100.","base year divided by the price of the basket in the base year, then divided by 100.","base year divided by the price of the basket in the given year, then divided by 100.","base year divided by the price of the basket in the given year, then multiplied by 100.","given year divided by the price of the basket in the base year, then multiplied by 100."
1010,"Categories of U.S. consumer spending used in the CPI, ranked from largest to smallest are:","food and beverages, housing, and medical care.","food and beverages, medical care, and housing.","housing, food and beverages, and medical care.","housing, medical care, and food and beverages.","housing, food and beverages, and medical care."
1011,"Substitution causes the increase in the cost of living from one year to the next to be","neither overstated or understated by the CPI because the CPI is based on the price of all goods.","overstated by the CPI because the basket of goods used to compute the CPI changes from year to year and so does not take into account the fact that as prices rise people purchase more of the goods they like less.","understated by the CPI because the CPI changes from year to year and so does not take into account the fact that people substitute higher quality goods for lower quality ones as income increases.","overstated by the CPI because the CPI is based on a fixed basket of goods that does not reflect increases in the purchases of goods that become relatively cheap.","overstated by the CPI because the CPI is based on a fixed basket of goods that does not reflect increases in the purchases of goods that become relatively cheap."
1012,"Unmeasured quality change is a problem in the CPI because","if the quality of a good deteriorates, the purchasing power of a dollar increases even if the price of the good remains the same.","the Bureau of Labor Statistics does not attempt to account for any quality changes that affect the standard of living.","if the quality of a good improves, the purchasing power of a dollar increases even if the price of the good remains the same.","Both a and b are correct.","if the quality of a good improves, the purchasing power of a dollar increases even if the price of the good remains the same."
1013,"Which of the following statements best represents economists’ beliefs about the bias in the CPI as a measure of the cost of living?","Economists agree on the severity of the CPI bias, but there is still debate on what to do about it.","Economists debate both the severity of the CPI bias and what to do about it.","Economists agree that the bias in the CPI is a very serious problem.","Economists agree that the bias in the CPI is not a serious problem.","Economists debate both the severity of the CPI bias and what to do about it."
1014,"Most, but not all, soccer balls used in the United States are imported from other nations. If the price of soccer balls increases, the GDP deflator will","increase, but the consumer price index will not increase.","increase less than will the consumer price index.","increase more than will the consumer price index.","not increase, but the consumer price index will increase.","increase less than will the consumer price index."
1015,"An Egyptian company produces sweaters in the United States and exports all of them to Lithuania. Other things the same, if the price of these sweaters increases, the GDP deflator","increases and the CPI is unchanged.","and the CPI are unchanged.","and the CPI both increase.","is unchanged and the CPI increases.","increases and the CPI is unchanged."
1016,"The basket of goods in the consumer price index changes","occasionally, while the basket of goods in the GDP deflator changes each time it is computed.","each time it is computed, while the basket of goods in the GDP deflator changes occasionally.","occasionally, as does the basket of goods in the GDP deflator.","each time it is computed, as does the basket of goods in the GDP deflator.","occasionally, while the basket of goods in the GDP deflator changes each time it is computed."
1017,"What is the purpose of measuring the overall level of prices in the economy?","to allow consumers to know what kinds of prices to expect in the future","to allow the measurement of GDP","to allow comparison between dollar figures from different points in time","All of the above are correct.","to allow comparison between dollar figures from different points in time"
1018,"Babe Ruth’s 1931 salary was $80,000. The price index for 1931 is 15.2 and the price index for 1999 is 166. Ruth’s 1931 salary was equivalent to a 1999 salary of about","$8,700.","$87,000.","$870,000.","$8,700,000.","$870,000."
1019,"Craig is offered a $120,000 per year job in Los Angeles, and a $90,000 per year job in Akron. The CPI for Los Angeles is 160 and the CPI for Akron is 120. What is the Los Angeles job’s purchasing power in “Akron dollars”?","$160,000","$120,000","$90,000","$65,000","$90,000"
1020,"A COLA automatically raises the wage rate when","real GDP increases.","the labor force increases.","taxes increase.","the consumer price index increases.","the consumer price index increases."
1021,"The nominal interest rate is","the interest rate paid or charged by a bank.","the interest rate as usually reported without a correction for the effects of inflation.","both a and b above.","None of the above is correct.","both a and b above."
1022,"Which of the following is the most accurate statement about the relationship between the nominal interest rate and the real interest rate?","The real interest rate is the nominal interest rate minus the rate of inflation.","The real interest rate is the nominal interest rate divided by the price level.","The real interest rate is the nominal interest rate times the price level.","The real interest rate is the nominal interest rate times the expected price level divided by the current price level.","The real interest rate is the nominal interest rate minus the rate of inflation."
1023,"If the nominal interest rate is 8% and rate of inflation is 2%, the real interest rate is","16%.","10%.","6%.","4%.","6%."
1024,"The nominal interest rate tells you","how fast the purchasing power of your bank account rises over time.","how fast the number of dollars in your bank account rises over time.","the number of dollars in your bank account.","the purchasing power of your bank account.","how fast the number of dollars in your bank account rises over time."
1025,"The real interest rate tells you","the number of dollars in your bank account.","the purchasing power of your bank account.","how fast the number of dollars in your bank account rises over time.","how fast the purchasing power of your bank account rises over time.","how fast the purchasing power of your bank account rises over time."
1026,"Which of the following is the most accurate statement about nominal and real interest rates?","Nominal and real interest rates often do not move together.","Nominal and real interest rates always move together.","Nominal and real interest rates never move together.","Nominal and real interest rates are identical.","Nominal and real interest rates often do not move together."
1027,"Samantha deposits $1,000 in a saving account that pays an annual interest rate of 4%. Over the course of a year the inflation rate is 1%. At the end of the year Samantha has","$40 more in her account, and her purchasing power has increased $30.","$30 more in her account and her purchasing power has increased $50.","$50 more in her account, and her purchasing power has increased $30.","$40 more in her account, and her purchasing power has increased $40.","$40 more in her account, and her purchasing power has increased $30."
1028,"In the late 1970s, nominal interest rates were high and inflation rates were very high. As a result, real interest rates were","very high.","moderately high.","low, but never negative.","low, and in some years they were negative.","low, and in some years they were negative."
1028,"In the late 1970s, nominal interest rates were high and inflation rates were very high. As a result, real interest rates were","very high.","moderately high.","low, but never negative.","low, and in some years they were negative.","low, and in some years they were negative."
1028,"In the late 1970s, nominal interest rates were high and inflation rates were very high. As a result, real interest rates were","very high.","moderately high.","low, but never negative.","low, and in some years they were negative.","low, and in some years they were negative."
1028,"In the late 1970s, nominal interest rates were high and inflation rates were very high. As a result, real interest rates were","very high.","moderately high.","low, but never negative.","low, and in some years they were negative.","low, and in some years they were negative."
1028,"In the late 1970s, nominal interest rates were high and inflation rates were very high. As a result, real interest rates were","very high.","moderately high.","low, but never negative.","low, and in some years they were negative.","low, and in some years they were negative."
1033,"Suppose the CPI in 1990 is 125. The CPI in 1999 is 155. What is the rate of inflation over the period?","24 percent","25 percent","30 percent","52 percent","24 percent"
1034,"Which of the following has the greatest weight in the CPI?","food and beverages","housing","medical care","All of the above have equal weights in the CPI.","housing"
1035,"The consumer price index is based on","100,000s of prices.","10,000s of prices.","1,000s of prices.","100s of prices.","10,000s of prices."
1036,"Consider the following two sentences. The producer price index measures the cost of a basket of goods and services purchased by firms. Changes in the producer price index are thought to be useful in predicting consumer prices.","Both sentences are true.","Only the first sentence is true.","Only the second sentence is true.","Neither sentence is true.","Both sentences are true."
1037,"Which of the following is true considering substitution bias?","When prices change from one year to the next, they do not all change proportionately.","Substitution bias tends to make the CPI overstate the cost of living from one year to the next.","When the price of a good rises, its weight in the consumer price index will be higher than its weight in the basket of goods people actually buy.","All of the above are true.","All of the above are true."
1038,"Consider the following two sentences. The creation of new goods makes each dollar more valuable. Yet because the CPI is based on a fixed basket of goods and services, it does not reflect this decrease in the cost of living.","Both sentences are true.","Only the first sentence is true.","Only the second sentence is true.","Neither sentence is true.","Both sentences are true."
1039,"Which of the following is correct?","The CPI makes no adjustment for quality changes.","Research by the Bureau of Labor Statistics shows that over the last 18 years the elderly have experienced more rapid increases in the cost-of-living than the general population.","Although there are problems measuring the cost-of-living accurately, there is no reason to believe that on net the CPI either overstates or understates the true inflation rate.","All of the above are correct.","Research by the Bureau of Labor Statistics shows that over the last 18 years the elderly have experienced more rapid increases in the cost-of-living than the general population."
1040,"If the price of apples increases more than the price of other goods, the weight of the apples in the CPI","increases.","decreases.","stays the same, but should increase to accurately reflect the change in the cost-of-living.","stays the same, but should decrease to accurately reflect the change in the cost-of-living.","stays the same, but should decrease to accurately reflect the change in the cost-of-living."
1041,"Suppose that the price of French wine imported to the US increases, other things the same this","increases both the CPI and the GDP in the United States.","increases the CPI but does not change the GDP deflator in the U.S.","increases the GDP deflator, but does not change the CPI in the U.S.","changes neither the CPI nor the GDP deflator in the U.S.","increases the CPI but does not change the GDP deflator in the U.S."
1042,"If the price of oil decreases, the CPI","decreases more than the GDP deflator decreases.","decreases less than the GDP deflator decreases.","decreases, but the GDP deflator does not change.","does not change, but the GDP deflator decreases.","decreases more than the GDP deflator decreases."
1043,"Which of the following is correct?","Both the CPI and GDP deflator use fixed weights.","Neither the CPI nor GDP deflator use fixed weights.","The CPI, but not the GDP deflator uses fixed weights.","The GDP deflator, but not the CPI uses fixed weights.","The CPI, but not the GDP deflator uses fixed weights."
1044,"The inflation rate computed from the CPI is","always somewhat greater than that computed from the GDP deflator.","always somewhat less than that computed from the GDP deflator.","sometimes greater and sometimes less, but generally moves in the opposite direction as the rate computed from the GDP deflator.","sometimes greater and sometimes less, but generally moves with the rate computed from the GDP deflator.","sometimes greater and sometimes less, but generally moves with the rate computed from the GDP deflator."
1045,"In the late 1970s","both the GDP deflator and CPI showed high rates of inflation; in the 1990s both showed low inflation rates.","both the GDP deflator and CPI showed low rates of inflation; in the 1990s both showed high inflation rates.","and the 1990s both the GDP deflator and CPI showed high rates of inflation.","and the 1990s both the GDP deflator and CPI showed low rates of inflation.","both the GDP deflator and CPI showed high rates of inflation; in the 1990s both showed low inflation rates."
1046,"In 1949 Sycamore, Illinois built a hospital for about $500,000. In 1987 the county restored the courthouse for about $2.4 million. A price index for nonresidential construction was 14 in 1949, 92 in 1987, and 114.5 in 2000. According to these numbers the hospital cost about","$3.6 million in 2000 dollars, which is less than the cost of the courthouse restoration in 2000 dollars.","$3.6 million in 2000 dollars, which is more than the cost of the courthouse restoration in 2000 dollars.","$4.1 million in 2000 dollars, which is less than the cost of the courthouse restoration in 2000 dollars.","$4.1 million in 2000 dollars, which is more than the cost of the courthouse restoration in 2000 dollars.","$4.1 million in 2000 dollars, which is more than the cost of the courthouse restoration in 2000 dollars."
1047,"Your grandparents tell you that in 1960 they paid $0.35 for admission to a movie. The price index in 1960 was 30. The price index in today is 171. What is the price your grandparents paid in today’s dollars?","$1.05","$1.99","$3.01","$5.98","$1.99"
1048,"In 1970 Professor Fellswoop made $12,000, in 1980 he earned $24,000, in 1990 he earned $36,000. If the CPI was 40 in 1970, 60 in 1980, 100 in 1990 in terms of 1999 dollars, Professor Fellswoop’s salary was highest in","1970, and lowest in 1980.","1990, and lowest in 1980.","1980, and lowest in 1970.","1990, and lowest in 1970.","1980, and lowest in 1970."
1049,"Indexation refers to","a process of adjusting the nominal interest rate so that it is equal to the real interest rate.","using a law or contract to automatically correct a dollar amount for the effects of inflation.","using a price index to deflate dollar values.","an adjustment made by the Bureau of Labor Statistics to the CPI so that the index is in line with the GDP deflator.","using a law or contract to automatically correct a dollar amount for the effects of inflation."
1050,"Mavis Corporation has an agreement with its workers to completely index the wage of their employees to inflation in the CPI. Mavis currently pays its production line workers $7.50 an hour and is scheduled to index their wages today. If the CPI is currently about 130 and was 120 a year ago Mavis should increase the hourly wages of its workers by about","7.5 cents","10 cents","58 cents","62.5 cents","62.5 cents"
1051,"Suppose that the real interest rate is 3% and the inflation rate is 1%.","The dollar value of savings increases at 3%, and the value of savings in goods increases at 1%.","The dollar value of savings increases at 1%, and the value of savings in goods increases at 2%.","The dollar value of savings increases at 2%, and the value of savings in goods increases at 3%.","The dollar value of savings increases at 4%, and the value of savings in goods increases at 3%.","The dollar value of savings increases at 4%, and the value of savings in goods increases at 3%."
1052,"Sluggo puts money in the bank and earns a 5% nominal interest rate, if the inflation rate is 3%, in one year Sluggo will have","3% more money that will purchase 2% more goods.","3% more money that will purchase 8% more goods.","5% more money that will purchase 2% more goods.","5% more money that will purchase 8% more goods.","5% more money that will purchase 2% more goods."
1053,"In Japan in 2000 nominal interest rates were 1.5% and the inflation rate was –.5%. The real interest rate was","–2%.","–1%.","1%.","2%.","2%."
1054,"A nation’s standard of living is measured by its","real GDP.","real GDP per person.","nominal GDP.","nominal GDP per person.","real GDP per person."
1055,"Over the past century in the United States, average income as measured by real GDP per person has grown about","4 percent per year, which implies a doubling about every 20 years.","3 percent per year, which implies a doubling about every 25 years.","2 percent per year, which implies a doubling about every 35 years.","1 percent per year, which implies a doubling about every 65 years.","2 percent per year, which implies a doubling about every 35 years."
1056,"In the length of one generation, which of the following countries has gone from being among the poorest countries in the world to being among the richest?","Chad","Ethiopia","Ghana","Singapore","Singapore"
1057,"In comparison to other countries, Japan had a high growth rate over the last 100 years. Japan’s average annual growth rate of real GDP per person was a bit less than","0.5 percent.","1.0 percent.","2.0 percent","3.0 percent.","3.0 percent."
1058,"Compounding refers to the","geometric smoothing of productivity data.","accumulation of a growth rate over a period of time.","increase in a growth rate over a period of time.","adjustment made to GDP meant to take out the effects of inflation.","accumulation of a growth rate over a period of time."
1059,"When Ben Franklin died he left $5,000 to be invested for a period of 200 years to benefit medical students and scientific research. According to the “rule of 70,” how often would this money have doubled if it grew 7 percent per year every year?","about every 10 years","about every 7 years","about every 5 years","about every 3.5 years","about every 10 years"
1060,"According to the rule of 70, if some variable grows at a rate of g percent per year, then that variable doubles in approximately","70/g years.","70g years.","70/2g years.","2g/70 years.","70/g years."
1061,"Both Elmo and Anna work eight hours a day. Elmo can produce four baskets of goods per hour while Anna can produce three baskets of the same goods per hour. It follows that Elmo’s","productivity is greater than Anna’s.","output is greater than Anna’s.","standard of living is higher than Anna’s.","All of the above are correct.","All of the above are correct."
1062,"Which of the following would be considered physical capital?","paper used to make cardboard for boxes of chocolate","the skills and knowledge of a film director","boats owned by a shrimp company","All of the above are correct.","boats owned by a shrimp company"
1063,"Which of the following is human capital?","a company’s cafeteria","employees’ knowledge of the production process","the exercise equipment in a company’s gym","All of the above are correct.","employees’ knowledge of the production process"
1064,"In a market economy, scarcity of resources is reflected in","supply only.","demand only.","prices.","the quantity traded.","prices."
1065,"Your company discovers a better way to produce DVDs, but how you do this is not apparent from the DVDs themselves. Your knowledge of how to more efficiently produce DVDs is","common technological knowledge.","common, but not technological knowledge.","proprietary technological knowledge.","proprietary, but not technological knowledge.","proprietary technological knowledge."
1066,"If there are constant returns to scale, the production function can be written as","xY = 2xAF(L, K, H, N).","Y/L = A F(xL, xK, xH, xN).","L = AF(Y, K, H, N).","Y/L = A F( 1, K/L, H/L, N/L).","Y/L = A F( 1, K/L, H/L, N/L)."
1067,"Which of the following would increase productivity?","an increase in the amount of equipment per-worker","an increase in the knowledge and skills of workers","the discovery of new raw materials","All of the above are correct.","All of the above are correct."
1068,"Across countries, investment and growth rates are","unrelated.","negatively related.","negatively related for rich countries, but positively related for poor countries.","positively related.","positively related."
1069,"If there are diminishing returns to capital,","capital produces fewer goods as it ages.","increases in the capital stock eventually decrease output.","the smaller the capital stock, the less an increase in the capital stock increases output.","the larger the capital stock, the less an increase in the capital stock increases output.","the larger the capital stock, the less an increase in the capital stock increases output."
1070,"The logic behind the catch-up effect is that","workers in countries with low income will work harder than workers in countries with high incomes.","new capital adds more to production in a country that doesn’t have much capital than in a country that already has much capital.","the capital stock in rich countries deteriorates more rapidly than the capital stock in poor countries.","None of the above is correct.","new capital adds more to production in a country that doesn’t have much capital than in a country that already has much capital."
1071,"In the 1800s, Europeans purchased stock in American companies that used the funds to build railroads and factories. The Europeans made","foreign portfolio investments.","indirect domestic investments.","bilateral domestic investments.","foreign indirect investments.","foreign portfolio investments."
1072,"Which of the following is generally an opportunity cost of investment in human capital?","forgone wages at present","increased earning potential","future job security","All of the above are correct.","forgone wages at present"
1073,"Generally, the main cause of famine is","a shortage of food.","excessive population.","an inadequate distribution of food.","None of the above is correct.","an inadequate distribution of food."
1074,"Outward-oriented policies","have led to high growth rates for the countries that pursued them.","prevent countries from taking advantage of gains from trade.","seem good in theory, but have not increased economic growth in practice.","None of the above is correct.","have led to high growth rates for the countries that pursued them."
1075,"A large and sudden increase in the number of workers is likely to","raise real GDP per person, but decrease real GDP.","decrease both real GDP and real GDP per person.","raise both real GDP and real GDP per person.","raise real GDP, but decrease real GDP per person.","raise real GDP, but decrease real GDP per person."
1076,"The primary reason that U.S. living standards are higher today than they were a century ago is that","human capital has increased.","physical capital per worker has increased.","technological knowledge has increased.","more productive natural resources have been discovered.","technological knowledge has increased."
1077,"From 1973 to 1998, U.S. productivity growth was slower than from 1959 to 1973. Which of the following is correct?","This continues a downward trend as output growth was higher in periods before 1959.","It appears that this may be attributed to a slowdown in technological progress.","This slowdown is unique to the United States.","All of the above are correct.","It appears that this may be attributed to a slowdown in technological progress."
1078,"Typically, countries in Africa","have high tax rates.","have laws and geography that make international trade easy.","had low but positive growth of real GDP per person between 1978 and 1994.","All of the above are correct.","have high tax rates."
1079,"In the last 100 years U.S. per-capita real GDP grew about","2% per year, so that it is about two times as high.","2% per year, so that it is about eight times as high.","4% per year, so that it is about two times as high.","4% per year, so that it is about eight times as high.","2% per year, so that it is about eight times as high."
1080,"Per-capita real GDP in China is about equal to per-capita real GDP in the United States in","1870, and 1/2 that in the United States today.","1870, and 1/8 that in the United States today.","1920, and 1/2 that in the United States today.","1920, and 1/8 that in the United States today.","1870, and 1/8 that in the United States today."
1081,"Of countries listed in the text, the per-capita real GDP growth rates over the last 100 years ranged from about","0%-5%.","1%-3%.","2%-5%.","3%-6%.","1%-3%."
1082,"Suppose an economy that was roughly the size of Australia had a population of 19 million and real GDP of about 380,000 million U.S. dollars in 1998. Suppose further that in 1999 population was about 19.5 million and real GDP was about 401,500 million dollars. What are the approximate growth rates of real GDP and of real GDP per-capita?","5.7%, 5.3%","5.7%, 3%","3%, 5.7%","5.3%, 3%","5.7%, 3%"
1083,"Which of the following is correct?","If a country has a per-capita real GDP growth rate of 7%, its per-capita real GDP will double about every 14 years.","The current level of per-capita real GDP in the United States is about $19,450.","Although 100 years ago the United Kingdom had greater per-capita real GDP than the United States and Canada, it now has lower per-capita real GDP than both of them.","All of the above are correct.","Although 100 years ago the United Kingdom had greater per-capita real GDP than the United States and Canada, it now has lower per-capita real GDP than both of them."
1084,"Productivity is the","growth rate of real GDP.","average amount a worker produces per hour.","level of real GDP.","None of the above is correct.","average amount a worker produces per hour."
1085,"Suppose that factory output rose from 50,000 units to 55,000 units while labor hours rose from 1100 to 1200. Which of the following is true?","Labor productivity remained unchanged.","Labor productivity increased slightly.","Labor productivity decreased slightly.","Labor productivity increased sharply.","Labor productivity increased slightly."
1086,"The productivity of U.S. workers is higher than that of workers in many countries that have less capital. Which of the following arguments concerning these facts is logically consistent?","This contradicts the idea of diminishing marginal product. If U.S. workers have more capital, they should have lower productivity.","Productivity in the United States is higher because the United States has more workers than those countries having low productivity.","The United States could have greater productivity because its workers have both more human capital and physical capital per worker.","None of the above is logically consistent.","The United States could have greater productivity because its workers have both more human capital and physical capital per worker."
1087,"Engineering students learn long-established methods for constructing bridges, in and of itself this learning increases","human capital.","physical capital.","technological knowledge.","None of the above is correct.","human capital."
1088,"If there are constant returns to scale then","a doubling of all inputs doubles real GDP.","technological progress does not affect per-capita real GDP.","doubling labor would leave per-capita real GDP unchanged.","an increase in capital per worker would leave per-capita real GDP unchanged.","a doubling of all inputs doubles real GDP."
1089,"Which of the following is incorrect?","Bulldozers are an example of physical capital.","Students can be viewed as workers who have the important job of producing human capital that will be used in future production.","A forest is a non-renewable resource.","Technological progress may reduce our dependence on nonrenewable resources.","A forest is a non-renewable resource."
1090,"Human capital is","the number of workers in the economy.","the number of workers divided by the population.","the amount of physical capital per worker.","society’s understanding of the best way to produce output.","society’s understanding of the best way to produce output."
1091,"Consider the following two sentences. The wealth of some countries derives primarily from the natural resources they own. However, countries with few natural resources can be highly productive.","Both sentences are true.","Only the first sentence is true.","Only the second sentence is true.","Neither sentence is true.","Both sentences are true."
1092,"Once adjusted for inflation the price of most natural resources","rose because of increasing demand from a growing population.","rose because their supply is declining.","were stable or falling because of government price controls.","None of the above is correct.","None of the above is correct."
1093,"In the long run a higher savings rate leads to","a higher level of per-capita income.","a higher level of productivity.","an increase in the growth rate of income.","A and B, but not C.","A and B, but not C."
1094,"Consider the following two sentences. According to the data, countries with higher investment relative to GDP, tend to have higher growth rates of real GDP per person. This relation is not perfect though, because an increase in the physical capital stock increases output per person more in a country with much capital than in a similar country with less capital.","Both sentences are true.","Both sentences are false.","Only the first sentence is true.","Only the second sentence is true.","Only the first sentence is true."
1095,"The catch-up effect is the","tendency for countries that start off poor to grow more rapidly than countries that start off rich.","property whereby the benefits of an extra unit of an input declines as the quantity of the input increases.","tendency for the growth rate of the capital stock of a country to match its population growth rate.","property whereby the benefits of different inputs move toward each other over time.","tendency for countries that start off poor to grow more rapidly than countries that start off rich."
1096,"Which of the following is incorrect?","Controlling for other variables such as the percentage of GDP devoted to investment, poor countries tend to grow faster than rich countries.","The growth that arises from capital accumulation is not a free lunch.","Countries such as Singapore and Japan, that devoted a large share of GDP to investment from 1960-1991 tended to have higher growth rates over this period.","The United States and Korea devoted similar shares of real GDP to investment from 1960-1991, but the United States had a higher growth rate.","The United States and Korea devoted similar shares of real GDP to investment from 1960-1991, but the United States had a higher growth rate."
1097,"Which would increase the capital stock of El Salvador and provide returns to U.S. investors?","U.S. foreign direct investment in El Salvador.","U.S. foreign portfolio investment in El Salvador.","Both of the above are correct.","Neither of the above is correct.","Both of the above are correct."
1098,"U.S. foreign direct investment","raises both U.S. GDP and U.S. GNP.","raises neither U.S. GDP nor U.S. GNP.","raises U.S. GDP, but not U.S. GNP.","raises U.S. GNP, but not U.S. GDP.","raises U.S. GNP, but not U.S. GDP."
1099,"Which of the following is NOT correct?","Many economists would advise governments in less-developed economies to implement policies that encourage investment from abroad.","Lowering population growth rates can increase per-capita real GDP.","Some economists argue that education is particularly important because human capital has positive externalities.","In the long run, increases in the savings rate lead to increases in real GDP growth.","In the long run, increases in the savings rate lead to increases in real GDP growth."
1100,"Which of the following statements is correct?","In general, a given level of investment in a poor country will lead to greater economic growth than the same level of investment in a rich country.","If a nation invests more, its economic growth rate will be permanently higher.","A nation must have abundant natural resources if it is to experience rapid economic growth.","Increased economic growth through increased investment does not have an opportunity cost.","In general, a given level of investment in a poor country will lead to greater economic growth than the same level of investment in a rich country."
1101,"Generally speaking from society’s viewpoint, the returns to research and development undertaken by firms","is a public good.","is a private good.","should never be supported by government.","will never occur if a system of patents is not put into place.","is a public good."
