ID, question, Option 1, Option 2, Option 3, Option 4, Answer
1017,"A major goal of the Meiji government in Japan was to","isolate Japan from other nations","achieve political union with China","establish Japan as an industrial power","encourage colonization of Asia by Western nations","establish Japan as an industrial power"
1018,"The modernization of Japan during the Meiji Restoration resulted in","a return to a feudal system of government","the rise of Japan as an imperialistic nation","an alliance between China, Korea, Russia, and Japan","a strengthening of Japan s isolationist policies","the rise of Japan as an imperialistic nation"
1019,"Which statement best describes events in Japan during the period of the Meiji Restoration?","Japan sought to isolate itself from world affairs.","Rapid industrialization and economic growth occurred.","Local lords increased their power over the Japanese emperor.","Agriculture was taken over by the government.","Rapid industrialization and economic growth occurred."
1020,"A primary purpose for building the Suez Canal was to","encourage Jewish settlement in nearby Palestine","increase trade between the Middle East, Europe and Asia","reduce the time needed for travel between the Atlantic Ocean and the Caribbean Sea","allow Indian merchants to reach the east coast of Africa","increase trade between the Middle East, Europe and Asia"
1021,"Which is an accurate statement about the partitioning of Africa by European imperialist nations during the 1800 s?","new nations were based on old tribal boundaries","the cultural and ethnic diversity of the African people was disregarded","the continent was divided equally among the colonial powers","African unity was encouraged","the cultural and ethnic diversity of the African people was disregarded"
1022,"After 1880, European nations sought colonies in Africa primarily because the Europeans were","in need of land for their surplus populations","competing of raw materials and markets","determined to bring Christianity to the Moslem world","interested in completing their geographic knowledge of the world","competing of raw materials and markets"
1023,"The 19th century term  White Man s Burden  reflects the idea that","Asians and Africans were equal to Europeans","Asians and Africans would be grateful for European help","imperialism was opposed by most Europeans","Europeans had a responsibility to improve the lives of the colonial peoples","Europeans had a responsibility to improve the lives of the colonial peoples"
1024,"The Sepoy Mutiny in India, the Boxer Rebellion in China, and the Islamic Revolution in Iran were similar in that they","restored power to the hereditary monarchies","attempted to reject the traditional cultures in these countries","resisted foreign influence in these countries","reestablished the power of religious leaders","resisted foreign influence in these countries"
1025,"During the 19th century, Europeans were able to divide China in Spheres of Influence mainly because the","Chinese were eager to adopt western culture","Europeans had technologically superior military forces","Europeans were willing to adopt Chinese customs","Chinese lacked raw materials and resources","Europeans had technologically superior military forces"
1026,"The Boxer Rebellion of the early 20th century was an attempt to","eliminate poverty among the Chinese peasants","bring western-style democracy to China","restore trade between China and European nations","remove foreign influences from China","remove foreign influences from China"
1027,"Yesterday, your ambassador petitioned my ministers regarding your trade with China our Celestial Empire possesses all things in great abundance and lacks no product within its own borders.  There is, therefore, no need to import any product manufactured by outside barbarians in exchange for our own goods.","maintaining economic isolation","expanding foreign trade","increasing international interdependence","developing into a colonial power","maintaining economic isolation"
1028,"British control over South Africa, French control over Indochina, and Spanish control over Mexico are examples of","isolationism","appeasement","nonalignment","imperialism","imperialism"
1029,"In the past, European nations have conquered other lands, made them into colonies, and controlled their economies.","socialism","isolationism","imperialism","monotheism","imperialism"
1030,"In the past, European nations have conquered other lands, made them into colonies, and controlled their economies.","industrialization of Europe and the need for raw materials","desire of Europeans to spread communism throughout the world","European belief in human rights for all people","requests of developing nations for modern machines and technology","industrialization of Europe and the need for raw materials"
1031,"During the 1840 s, China signed  unequal treaties  with Western nations mainly because","China had won the Opium War","Western nations had superior military technology","leaders in China favored expansion","China had requested economic assistance from the West","Western nations had superior military technology"
1032,"Throughout the 1800 s, an increased need for both raw materials and new markets for manufactured goods led various European nations to pursue policies of","imperialism","socialism","isolationism","communism","imperialism"
1033,"During the 18th and 19th centuries, increased contact between European and the continents of Africa, Asia, and South America resulted in","closer cultural cooperation between Europe and these continents","the exploitation of the labor and resources of these continents","a return to the political and economic systems of feudal Europe","preservation of the rights of the indigenous peoples","the exploitation of the labor and resources of these continents"
1034,"Take up the White Man s burden","negative attitude of Europeans toward peoples of the non-Western world","advantages Europeans would gain by colonizing Africa, Asia, and Latin America","positive role of the Roman Catholic Church in Africa and Asia","challenges non-Europeans faced when trading with the Europeans","negative attitude of Europeans toward peoples of the non-Western world"
1035,"Both the French and the British were interested in controlling Egypt in the mid-19th century because Egypt had","control of the spice trade","an industrial-based economy","vital mineral resources","a strategic location","a strategic location"
1036,", you, Africa, suffered like a beast  Your ashes strewn to the wind that roams the desert,","imperialism","communism","nationalism","regionalism","imperialism"
1037,"The results of the Opium War (1839-1842) indicate that China was","still a major military power","not strong enough to resist Western demands","rapidly building a modern industrial economy","accepting Western nations as equal trading partners","not strong enough to resist Western demands"
1038,"During the 18th and 19th centuries, Europeans improved roads and bridges and built railroads in their colonies primarily to","provide jobs for the colonists","obtain raw materials needed for industrialization","impress the colonists with their technological knowledge","help missionaries spread Christianity","obtain raw materials needed for industrialization"
1039,"Compared to other peoples of the world we have the greatest (largest) population and our civilization is four thousand years old Today we are the poorest and weakest nation in the world and occupy the lowest position in international affairs.  Other men are the carving knife and serving dish, we are the fish and the meat.  As a consequence we are being transformed everywhere into a colony of the foreign powers.","Opium War and Boxer Rebellion","Mau Mau uprising and adoption of apartheid","Sepoy Mutiny and the Salt March","Haitian Revolution and Cortes  march on Mexico City","Opium War and Boxer Rebellion"
1040,"One result of British colonialism in India was that India","adopted a parliamentary system of government","developed religious unity","supported Western foreign policies in the United Nations","created programs to increase its population","adopted a parliamentary system of government"
1041,"The Ashanti and Ijebu... strongly resisted missionary incursion [interference]-for a time at least . . . Both groups grudgingly [reluctantly] accepted missionaries and their schools only after military defeat by imperial forces.       Edward H. Berman","opposed giving up their religious and cultural heritage","returned to the worship of their traditional gods after the defeat of the missionaries","cooperated with the missionaries for economic gain","feared that missionaries would refuse to teach their children","opposed giving up their religious and cultural heritage"
1042,"In 19th-century China, the Opium War resulted in","the control of Hong Kong being returned to China","the removal of all British naval forces from China","an increase in European spheres of influence in China","the rejection of Buddhism by the Chinese people","an increase in European spheres of influence in China"
1043,"The borders that were established for many African nations during the late 1800 s were based primarily on","natural geographic barriers","easy access to natural resources","territorial claims of colonial rulers","cultural differences between ethnic groups","territorial claims of colonial rulers"
1044,"An analysis of the Russo-Japanese War and the Boer War shows that one reason nations go to war is to","assist oppressed people","spread religious beliefs","satisfy imperialist goals","honor provisions of a treaty","satisfy imperialist goals"
1045,"Which statement best expresses the motive for 19th-century European imperialism?","Living space was needed for the excess population in western Europe.","European leaders believed imperialism was an effective method of reducing the number of wars.","European nations would benefit from some aspects of the conquered nation s culture.","Imperialism would benefit the economies of the colonial powers.","Imperialism would benefit the economies of the colonial powers."
1046,"In 1917, Bolshevik leaders in Russia sought peace with Germany because the new Russian government","decided to join forces with Germany and the Central Powers","needed to concentrate its troops and resources on its war with Turkey","wanted to retain power and avoid German occupation","needed to control the Baltic Sea and wanted a warm water port","wanted to retain power and avoid German occupation"
1047,"In Eastern Europe after World War I, the greatest obstacle to national unity in many nation-states was the","great ethnic diversity found in the region","economic dependence of Eastern Europe on Japan","acceptance of democratic traditions by most Eastern Europeans","expansion of United States influence in the region","great ethnic diversity found in the region"
1048,"Which statement best describes the relationship between World War I and the Russian Revolution?","World War I created conditions within Russia that helped trigger a revolution","World War I postponed the Russian Revolution by restoring confidence in the Czar","the Russian Revolution inspired the Russian people to win World War I","World War I gave the Czar s army the needed experience to suppress the Russian Revolution","World War I created conditions within Russia that helped trigger a revolution"
1049,"A major cause of World War I was","a decline in the policy of imperialism","the existence of opposing alliances","an increase in acts of aggression by England","the spread of communism throughout Europe","the existence of opposing alliances"
1050,"Why was the Balkan region referred to as the  Powder Keg of Europe  prior to World War I?","The aggression of the Ottoman Empire was disrupting the balance of power.","Yugoslavia was invading its neighboring countries.","Nationalistic and imperialistic rivalries were increasing.","The area was the leading supplier of military equipment to the rest of the world.","Nationalistic and imperialistic rivalries were increasing."
1051,"The major impact of the Treaty of Versailles on Germany was that the treaty led to","an era of peace and international good will in Germany","a stable Germany that was both democratic and strong","an increase in Germany s desire to regain its power and prestige","a leadership position for Germany in the League of Nations","an increase in Germany s desire to regain its power and prestige"
1052,"Archduke Franz Ferdinand Assassinated!    Germany Declares War on Russia and France!","Franco-Prussian War","Crimean War","World War I","Cold War","World War I"
1053,"Which is generally a characteristic of a communist economy?","investment is encouraged by the promise of large profits","the role of government in the economy is restricted by law","government agencies are involved in production planning","entrepreneurs sell shares in their companies to the government","government agencies are involved in production planning"
1054,"A group of planners makes all economic decisions. The group assigns natural, human, and capital resources to the production of those goods and services it wants. The group decides how to produce them and to whom to distribute them","manorial economy of feudal Europe","mercantile economy of 18th century Europe","command economy of the Soviet Union","market economy of the United States","command economy of the Soviet Union"
1055,"Which situation resulted from the Russo-Japanese War of 1905?","Japan lost its status as a world power","the Japanese Emperor encouraged reforms in Russia","dissident groups challenged the power of the Russian Czar","Russia gained control of China and Japan","dissident groups challenged the power of the Russian Czar"
1056,"Stalin s Five-Year Plans and his decision to form collectives are examples of","strategies to modernize the economy of the Soviet Union through forced communism","a more friendly foreign policy toward China","methods of dealing with the United States during the Cold War","programs to westernize, educate, and enlighten the population","strategies to modernize the economy of the Soviet Union through forced communism"
1057,"A major cause of the Russian Revolution of 1917 was the","defeat of Germany in the Russian campaign","marriage of Czar Nicholas II to a German princess","existence of sharp economic differences between social classes","appeal of Marxism to the Russian nobility","existence of sharp economic differences between social classes"
1058,"Which is an accurate statement about the Soviet economy under the leadership of Joseph Stalin?","a large selection of consumer goods became available","the Soviet Union increased its industrial output by developing heavy industry","private farmers were encouraged to sell their surplus produce in an open market","the government reduced its role in planning industrial production","the Soviet Union increased its industrial output by developing heavy industry"
1059,"A major effect of Josef Stalin s policy of Collectivization on Soviet agriculture was","a widespread food shortage throughout the nation","an increase in the export of agricultural products","a surplus of agricultural goods","the immediate creation of many small private farms","a widespread food shortage throughout the nation"
1060,"One action taken by both V.I. Lenin and Joseph Stalin was","attempting to bring democracy to Russia","jailing or murdering potential opponents","supporting the Russian Orthodox Church","providing economic aid to Japan after World War I and World War II","jailing or murdering potential opponents"
1061,"The Russian peasants supported the Bolsheviks in the 1917 Revolutions mainly because the Bolsheviks promised to","establish collective farms","maintain the agricultural price-support system","bring modern technology to Russian farms","redistribute the land owned by the nobility","redistribute the land owned by the nobility"
1062,"Which statement best describes the political situation in the Soviet Union immediately after Lenin s death in 1924?","the nation adopted a constitutional monarchy","Trotsky and his followers assumed full control of the Communist Party","popular elections were held to choose a new general secretary","a power struggle developed among Communist Party leaders","a power struggle developed among Communist Party leaders"
1063,"The term that best describes the position of Jews in Czarist Russia is","political elite","persecuted minority","landed gentry","military leaders","persecuted minority"
1064,"the organizations of the revolutionaries must consist first, foremost, and mainly of people who make revolutionary activity their profession such an organization must of necessity be not too extensive and as secret as possible","defeat Germany in World War I","establish democracy in Russia","maintain communist power in Western Europe","overthrow the Russian government","overthrow the Russian government"
1065,"The 1917 victory of the communists in Russia was a contradiction of Marxist theory because Russia was","already ruled by a socialist government","involved in World War I","mainly an agricultural society","not considered to be a military power","mainly an agricultural society"
1066,"Josef Stalin s leadership of the Soviet Union can best be characterized as a period of","democratic reform and nationalism","humanism and democracy","religious freedom and tolerance","censorship and terror","censorship and terror"
1067,"The political reorganization of Russia after the Communist Revolution of 1917 resulted in","the establishment of a two-party political system","increased political power for ethnic minorities","a limited monarchy with the czar as a figurehead","a federation of socialist republics","a federation of socialist republics"
1068,"Under Josef Stalin, the Soviet Union emphasized centralized economic planning and Five-Year Plans primarily to","produce more consumer goods","expand exports","create a demand for high-quality imports","develop heavy industry","develop heavy industry"
1069,"Which characteristic was common to both Russia under the Czars and the Soviet Union under Josef Stalin?","a lack of concern about territorial expansion","support of artistic and literary freedom","encouragement of free enterprise","persecution of political dissenters","persecution of political dissenters"
1070,"Under Joseph Stalin, life in the Soviet Union was characterized by","an abundance of consumer goods","political instability and numerous civil wars","support for small family-run farms","the use of censorship and the secret police","the use of censorship and the secret police"
1071,"Which slogan expressed the ideals of the Bolshevik Revolution of 1917?","Liberty, Equality, and Fraternity","Bread, Land, and Peace","Land and Liberty","Nationalism, Democracy, and the People s Livelihood","Bread, Land, and Peace"
1072,"Russian peasants supported the Bolsheviks in 1917 primarily because the Bolsheviks pledged to","establish and maintain collective farms","redistribute land and make peace","keep crop yields low","limit the income of the nobility","redistribute land and make peace"
1073,"Which statement best describes a relationship between World War I and the Bolshevik Revolution?","World War I created conditions in Russia that helped trigger a revolution.","World War I postponed the revolution in Russia by restoring confidence in the Czar.","Opposing Russian forces cooperated to fight the foreign invaders.","World War I gave the Czar s army the needed experience to suppress the revolution.","World War I created conditions in Russia that helped trigger a revolution."
1074,"The Kirghiz with whom we stopped was very well off. . . . After some tea our host asked me,  Where is the Ak Padsha now, the White Tsar Nikolai?    He and all his family, the Tsaritsa, their daughters and son, have been killed by the Bolsheviks,  I answered.","during the Napoleonic Wars","after Mao Zedong came to power","after the Russian Revolution","during World War II","after the Russian Revolution"
1075,"In the 1920 s and 1930 s, the rise of totalitarian governments in Germany, Italy, and Spain was largely the result of","the success of the Communists in establishing a command economy in the Soviet Union","severe economic and social problems that arose in Europe after World War I","the active support of the United States","movements demanding the return of the old monarchies","severe economic and social problems that arose in Europe after World War I"
1076,"The harsh conditions imposed by the Treaty of Versailles after World War I helped lay the foundation for the","rise of fascism Germany","uprisings during the French Revolution","division of Korea along the 38th parallel","Bolshevik Revolution in Russia","rise of fascism Germany"
1077,"Between the Meiji Restoration and World War II, Japan tried to solve the problem of its scarcity of natural resources by","exporting agricultural products in exchange for new technology","establishing a policy of imperialism","building nuclear power plants","cooperating with the Soviet Union to gain needed resources","establishing a policy of imperialism"
1078,"Which idea was included in the provisions of the Treaty of Versailles to show the intent of the Allies to punish the Central Powers for their role in World War II?","all nations shall maintain open covenants of peace","freedom of the seas will be maintained","Germany will accept full responsibility for causing the war","territorial settlements shall be made along clearly recognizable lines of nationality","Germany will accept full responsibility for causing the war"
1079,"Fascism in Europe during the 1920 s and 1930 s is best described as a","demonstration of laissez-faire capitalism that promoted free enterprise","form of totalitarianism that glorified the state above the individual","type of economic system that stressed a classless society","set of humanist ideas that emphasized the dignity and worth of the individual","form of totalitarianism that glorified the state above the individual"
1080,"Censorship, mass arrests, and a secret police force are most characteristic of","parliamentary democracies","republics","totalitarian regimes","constitutional monarchies","totalitarian regimes"
1081,"After World War I, Japan attempted to solve some of its economic problems by","establishing extensive trade with the Soviet Union","expanding its influence in Asia","practicing the principles of Marxism","refusing to rely on Western technology","expanding its influence in Asia"
1082,"Which policy shows that appeasement does not always prevent war?","British policy toward Germany in Munich during the 1930 s","French policy in Indochina in the 1950 s","United States policy toward Cuba in the early 1960 s","Iraqi policy toward Iran in the 1980 s","British policy toward Germany in Munich during the 1930 s"
1083,"In the 1930 s, the Japanese government followed a policy of imperialism primarily to","acquire new sources of raw materials","spread Zen Buddhism throughout Asia","sell more consumer goods to European nations","spread the ideas of bushido","acquire new sources of raw materials"
1084,"What was one reason the Nazi programs and policies of the early 1930 s appealed to many people in Germany?","the people were frustrated with their current economic and political situation","Germany had been denied membership in the United Nations","a coup d etat had forced communism on the German people","the German people feared that the French of the British would soon gain control of the Polish corridor","the people were frustrated with their current economic and political situation"
1085,"The imperialist policies followed by Japan after World War I were based on a desire to","convert people to Shinto","acquire markets for its oil industry","compete with Chinese trade policies","obtain natural resources for manufacturing","obtain natural resources for manufacturing"
1086,"During the mid-1930 s, which characteristic was common to Fascist Italy, Nazi Germany, and Communist Russia?","government ownership of the means of production and distribution","one-party system that denied basic human rights","encouragement of individual freedom of expression in the arts","emphasis on consumer goods rather than on weapons","one-party system that denied basic human rights"
1087,"One reason the Fascist governments of Benito Mussolini and Adolf Hitler came to power in Italy","were threatened by the United States","supported civil liberties for all","failed to join the League of Nations","faced economic and political difficulties","faced economic and political difficulties"
1088,"Which was a characteristic of Germany under Adolf Hitler and the Soviet Union under Josef Stalin?","an official foreign policy of isolationism","governmental control of the media","public ownership of business and industry","the absence of a written constitution","governmental control of the media"
1089,"World War II is often considered to be a turning point in history because","the League of nations demonstrated that an international organization could maintain world peace","the war brought an end to dictatorships as a form of government","European domination of the world began to weaken as nationalism in colonies increased","religious and ethnic differences were no longer a source of conflict between nations","European domination of the world began to weaken as nationalism in colonies increased"
1090,"From as early as I can remember, the Emperor was an important presence even in our remote home.  He was a descendant of the gods from thousands of years before, never to be looked at or listened to by mere mortals, a presence to be revered and protected and obeyed Finally , my family and neighbors gathered around the radio and listened in stunned silence to the voice that had never before been heard, saying he was only human after all.  Everyone was crying.  I was sad and confused","his overthrow by communist forces","defeat of the Japanese in World War II","signing of the Versailles Treaty","conclusion of the Russo-Japanese War","defeat of the Japanese in World War II"
1091,"Which reform took place in Japan after World War II?","Japan s industrial capability was greatly reduced","the Emperor s position was abolished","Japan became a representative democracy","labor unions were declared illegal","Japan became a representative democracy"
1092,"A major factor in the economic recoveries of Japan and West Germany after World War II was their","desire to avoid an invasion from China","acceptance into the United Nations","ability to produce nuclear weapons","need to replace destroyed factories","need to replace destroyed factories"
1093,"Which factor most enabled Japan to rebuild and modernize rapidly after World War II?","vast mineral reserves","large amounts of fertile land","a strong military","a well-trained workforce","a well-trained workforce"
1094,"Which is one major reason the Holocaust is considered a unique event in modern European history?","Jews of Europe have seldom been victims of persecution.","Civilians rarely were killed during air raids on Great Britain.","Adolf Hitler concealed his anti-Jewish feelings until after he came to power.","The genocide was planned in great detail and required the cooperation of many people.","The genocide was planned in great detail and required the cooperation of many people."
1095,"The economic policies of the Soviet Union traditionally emphasized the production of","automobiles for export","building materials for luxury housing","consumer goods","heavy industrial goods","heavy industrial goods"
1096,"Which is generally a characteristic of a communist economy?","investment is encouraged by the promise of large profits","the role of government in the economy is restricted by law","government agencies are involved in production planning","entrepreneurs sell shares in their companies to the government","government agencies are involved in production planning"
1097,"One reason the Soviet Union formed the Warsaw Pact was to","ease the transition to democracy","help institute capitalism in Eastern Europe","limit the threat of invasion from Western Europe","challenge the economic successes of the Common Market","limit the threat of invasion from Western Europe"
1098,"Which statement best describes most Eastern European countries immediately after World War II?  They","adopted democratic reforms in their political systems","became satellite states of the Soviet Union","became dependent on aid provided by the Marshall Plan","emerged as world economic powers","became satellite states of the Soviet Union"
1099,"Communist governments were established in most nations of Eastern Europe shortly after World War II because","the region had a long tradition of strong communist parties","communist governments were able to significantly increase agricultural productivity","the Soviet Union used military and diplomatic pressures to install their governments","members of the Communist party won free elections in these nations","the Soviet Union used military and diplomatic pressures to install their governments"
1100,"During the Cold War Era (1945-1990), the United States and the Soviet Union were reluctant to become involved in direct military conflict mainly because of","the peacekeeping role of the United Nations","pressure from nonaligned nations","the potential for global nuclear destruction","increased tensions in the Middle East","the potential for global nuclear destruction"
1101,"After World War II, the Soviet Union established satellites in Eastern Europe to","support the remaining Fascist governments in Eastern Europe","preserve capitalism in Eastern Europe","establish democratic governments in Eastern European nations","expand its power and control over Eastern Europe","expand its power and control over Eastern Europe"
1102,"In the Soviet Union, a negative aspect of the Cold War Era was the","attempt to preserve democratic ideals","development of peaceful uses for modern technology","development of effective means of international cooperation","high cost of maintaining the arms race","high cost of maintaining the arms race"
1103,"From Stetin in the Baltic to Trieste in the Adriatic, an Iron Curtain has descended across the continent. Behind that line lie all the capitals of the ancient states of Central and Eastern Europe. Warsaw, Berlin, Prague, Vienna, Budapest, Belgrade, Bucharest and Sofia, all these famous cities and the populations around them lie in what I might call the Soviet Sphere, and all are subject, in one form or another, not only to Soviet influence, but to very high, and in some cases increasing measure of control from Moscow.","The Soviet Union has expanded its influence throughout Eastern Europe","The Soviet Union has helped the nations of Eastern Europe improve their standard of living","The democratic nations of Western Europe have stopped the expansion of Soviet influence in the world","The Soviet Union will support communist revolutions in Southeast Asia","The Soviet Union has expanded its influence throughout Eastern Europe"
1104,"Prior to the 1980 s, the emphasis of the Five-Year Plans in the Soviet Union was on heavy industry.  One result was the","scarcity of consumer goods","abundance of manufactured goods","rejection of agricultural planning","decline in military spending","scarcity of consumer goods"
1105,"The Soviet Union s reaction to the 1968 revolt in Czechoslovakia was to","permit limited political and economic reforms in Czechoslovakia","withdraw Soviet troops from Eastern Europe","send Soviet troops to occupy Czechoslovakia","bring the matter to the attention of the United Nations","send Soviet troops to occupy Czechoslovakia"
1106,"Which was a major reason for the success of Soviet domination in Eastern Europe after World War II?","Eastern Europeans accepted the doctrine of Pan-Slavism","the democracies of Western Europe needed greater security","the Soviet Union had military forces in Eastern Europe as a result of World War II","Western Europeans feared that Nazism would be rekindled in Eastern Europe","the Soviet Union had military forces in Eastern Europe as a result of World War II"
1107,"The events that took place in Hungary in the 1950 s and in Czechoslovakia in the 1960 s demonstrated the Soviet Union s","support of nationalism among satellite nations","influence on the economies of developing nations","determination to maintain political control over Eastern Europe at that time","attempts to promote its artistic and literary achievements in Western Europe","determination to maintain political control over Eastern Europe at that time"
1108,"The expansion of communism into Eastern Europe was a direct result of","the Crimean war","the Napoleonic Wars","World War I","World War II","World War II"
1109,"United States involvement in the Vietnam War and the Soviet Union s involvement in Afghanistan were motivated mainly by a desire to","exploit the mineral resources of the regions","support governments that would remain strong allies","stop the expansion of Japan into the Middle East","establish independent nation-states in the regions","support governments that would remain strong allies"
1110,"Warsaw Pact Tanks Invade Budapest","Mikhail Gorbachev s introduction of the policy of Glasnost","Adolf Hitler s efforts to promote national socialism","the Soviet Union s acceptance of capitalism","attempts by the Soviet Union to strengthen communist control","attempts by the Soviet Union to strengthen communist control"
1111,"The invasion of Hungary in 1956 by the Soviet Union and the building of the Berlin Wall in 1961 are examples of","United Nations Security Council resolutions","Truman Doctrine failures","Marshall Plan effects","Cold War Era conflicts","Truman Doctrine failures"
1112,"During the Cold War Era, many Asian and African nations followed a policy of nonalignment because they","had the same goals and needs as the Soviet Union","needed the natural resources of Western European nations","wished to receive aid from the Soviet Union and the United States","were afraid of losing their vote in the United Nations","wished to receive aid from the Soviet Union and the United States"
1113,"We believe in nonaggression and noninterference by one country in the affairs of another and the growth of tolerance between them and the capacity for peaceful coexistence.  We, therefore, endeavor to maintain friendly relations with all countries, even though we may disagree with them in their policies.","imperialism","mercantilism","isolationism","nonalignment","nonalignment"
1114,"Which is a major reason Cuban and Nicaraguan revolutionary movements were attracted to communism?","communist groups promised economic reform and better living standards","business owners and the military were supported by communist groups","the goal of communism was to encourage religion","communist leaders promised to reduce Spanish colonialism in the Western Hemisphere","communist groups promised economic reform and better living standards"
1115,"The main reason the United Nations sent troops to Korea in 1950 was to","ensure that food reached areas of the Korean Peninsula affected by famine","prevent North Korea from conquering the people of South Korea","force the inspection of nuclear weapons plants in North Korea","restore peace between warring factions of Buddhism and Shinto","prevent North Korea from conquering the people of South Korea"
1116,"The conflict between Israel and the Arab nations since 1948 was often considered part of the Cold War primarily because","the policy of detente evolved from this conflict","communist governments were established in many Arab nations","the leadership of Joseph Stalin strongly influenced the policies of Saddam Hussein","the United States supported Israel and the Soviet Union supported several Arab nations","the United States supported Israel and the Soviet Union supported several Arab nations"
1117,"-Berlin Blockade (1948-1949)","throughout the period, the United States and the Soviet Union were reluctant to solve conflicts","the level of tension between the United States and the Soviet Union varied","economics played a key role in causing conflict between the United States and the Soviet Union","the United Nations was instrumental in reducing tensions between the United States and the Soviet Union","the level of tension between the United States and the Soviet Union varied"
1118,"Which statement would be consistent with the views of Fidel Castro?","The spread of communism is the greatest danger facing Latin America","An American military presence is the key to the defense of Latin America","Progress and justice in Latin America can only be achieved through revolutionary socialism","Introducing a free-market system will improve the economies of Latin American nations","Progress and justice in Latin America can only be achieved through revolutionary socialism"
1119,"From the perspective of the North Vietnamese, the war in Vietnam in the 1960 s was a battle between","fascism and liberalism","nationalism and imperialism","republicanism and totalitarianism","theocracy and monarchy","nationalism and imperialism"
1120,"Which headline concerning the Soviet Union refers to a Cold War event?","Yeltsin Assumes Power","Trotsky Forms Red Army","Germany Invades USSR","Warsaw Pact Formed","Warsaw Pact Formed"
1121,"A major development in relations between the Soviet Union and the United States occurred in the late 1980 s when the two nations agreed to","purchase all their oil from Mexico","withdraw from the United Nations","eliminate a group of nuclear missiles","ban arms sales to developing nations","eliminate a group of nuclear missiles"
1122,"During the 1980 s, the Soviet Union experimented with modifications of its command economy by","eliminating central planning","allowing private ownership of major industries","introducing some market economy strategies","legalizing independent trade unions","introducing some market economy strategies"
1123,"In the 30 years after World War II, which area was most influenced by the Soviet Union?","Southeast Asia","North Africa","Eastern Europe","Central America","Eastern Europe"
1124,"Which statement best describes the political situation in Eastern Europe during the 1980 s?","nationalism has often been a strong force for change","communist governments have gained power through democratic elections","ethnic rivalries have been eliminated throughout the region","United States influence has been used to keep communist governments in power","nationalism has often been a strong force for change"
1125,"The withdrawal of France from Indochina, the involvement of the Soviet Union in Cuba, and the United States support of the Contras in Nicaragua illustrate that nations","consistently discard traditional foreign policy goals after changes in administration","tend to base foreign policy decisions on what they believe to be their self-interests","no longer use warfare as a means to resolve international conflict","tend to refer foreign policy conflicts to the United Nations","tend to base foreign policy decisions on what they believe to be their self-interests"
1126,"Which is a valid statement about the Soviet Union from the time of the Bolshevik Revolution through 1991?","Education has been limited to the communist party elite","Demand for consumer goods has exceeded production","Military expenditures have been low","Industrialization has not occurred","Demand for consumer goods has exceeded production"
1127,"In the Soviet Union, Vladimir Lenin s New Economic Policy (NEP) and Mikhail Gorbachev s policy of Perestroika both sought to","increase spending of nuclear weapons","strengthen central planning","increase production through individual enterprise","reduce the influence of middle-class farmers","increase production through individual enterprise"
1128,"During the 1980 s in the Soviet Union, a major element of the economic policy of Perestroika was","increased collectivization of farms","more reliance on local and regional decision making","the expanded use of national Five-Year plans","an emphasis on the redistribution of wealth","more reliance on local and regional decision making"
1129,"Blockade of Berlin    Operation of the Berlin Airlift","efforts to prevent military conflict between the superpowers","situations that increased tensions between communist and democratic nations in Europe","attempts to weaken the Soviet Union s control of its Eastern European allies","policies of peaceful coexistence and d tente","situations that increased tensions between communist and democratic nations in Europe"
1130,"In Eastern Europe during the 1950 s and 1960 s, the Soviet Union responded to challenges to its control by","allowing free elections, when necessary","imposing prompt and severe repression","obtaining United Nations assistance","granting independence to its satellite nations","imposing prompt and severe repression"
1131,"In the People s Republic of China, which factor best reflects Marxism?","communal work teams on farms","ownership of small farms by individuals","small family-owned businesses in villages","foreign influence on the economy","communal work teams on farms"
1132,"The Great Leap Forward in China and the five-year plans in the Soviet Union were attempts to increase","private capital investment","religious tolerance","individual ownership of land","industrial productivity","industrial productivity"
1133,"In China and the former Soviet Union, the communist governments discouraged organized religion because religions","compete for the loyalties of the people","support the principles of laissez-faire","favor anarchy over organized government","stress economic rather than political values","compete for the loyalties of the people"
1134,"A major goal of the Cultural Revolution in China during the 1960 s was to","restore China to the glory of the Han Dynasty","reemphasize Confucian traditional values","weaken communist ideas","eliminate opposition to Mao Zedong","eliminate opposition to Mao Zedong"
1135,"After World War II, the Chinese Communists were successful in their revolution mainly because the","United States refused to support the Nationalists","communists had the support of the peasants","communists had more technologically advanced weapons","nationalist had been defeated by Japan","communists had the support of the peasants"
1136,"An immediate result of the Cultural Revolution in China was that it","helped to establish democracy in urban centers in China","led to economic cooperation with Japan and South Korea","disrupted China s economic and educational systems","strengthened political ties with the United States","disrupted China s economic and educational systems"
1137,"The main reason the Chinese Communists gained control of mainland China in 1949 was that","they were supported by many warlords and upper class Chinese","the United States had supported the Chinese Communist Party during World War II","the dynamic leadership of Mao Zedong had the support of the peasant class","they had superior financial resources and were supported by Japan","the dynamic leadership of Mao Zedong had the support of the peasant class"
1138,"In China, the Great Leap Forward was an attempt to","promote democratic reform","end the private ownership of land","strengthen economic ties with Europe","increase agricultural and industrial production","increase agricultural and industrial production"
1139,"Deng Xioaping s economic reforms in China differ from the previous economic policies of Mao Zedong in that Deng s reforms","discourage private ownership of businesses","promote further collectivization","include elements of capitalism","decrease trade with the United States","include elements of capitalism"
1140,"The Confucian view of government and the Chinese Communist view of government were similar in that both stressed","loyalty to the government","the need for filial piety","a civil service system","equality of men and women","loyalty to the government"
